,pid,newpid,category,sent,newscore
514,zb434ve3,759,drug,"Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",0.6577802709735465
862,cszqykpu,682,drug,"Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",0.657669608815836
1,yf5g53a9,819,drug,"Chloroquine, remdesivir, lopinavir, ribavirin and ritonavir have shown efficacy to inhibit coronavirus in vitro.",0.6575014694541313
5,qdt90c22,543,drug,"Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease.",0.6569587708171037
363,vbgf50os,623,drug,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19).",0.6568432313323443
94,zb434ve3,761,drug,"In addition, we also found that several antiviral agents, such as Kaletra (lopinavir/ritonavir), could be used for the treatment of SARS-CoV-2.",0.6565302187824577
48,d7n1zy0b,752,drug,"Key findings The results suggest the effectiveness of Sofosbuvir, IDX-184, Ribavirin, and Remidisvir as potent drugs against the newly emerged HCoV disease.",0.6543204620107183
159,vbgf50os,625,drug,"Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes.",0.6539611736550388
517,d7n1zy0b,751,drug,"Additionally, the newly emerged Wuhan HCoV RdRp model is targeted by anti-polymerase drugs, including the approved drugs Sofosbuvir and Ribavirin.",0.6531381803356765
107,cszqykpu,684,drug,"In addition, we also found that several antiviral agents, such as Kaletra, could be used for the treatment of 2019-nCoV, although there is no real-world evidence supporting the prediction.",0.6521726148009355
259,679qfp2s,233,drug,The in vitro antiviral activity of darunavir against a clinical isolate from a patient infected with SARS-CoV-2 was assessed.,0.6521321771888687
360,ptnmtvzj,1002,drug,"Eighteen studies reported potential drug-related adverse effects including gastrointestinal symptoms, anemia, and altered liver function in patients receiving ribavirin.",0.6517189496921091
30,m0hivi0u,888,drug,"Our results show that darunavir has the best binding affinity with SARS-CoV-2 and SARS-CoV 3CLpro among all inhibitors, indicating it has the potential to become an anti-COVID-19 clinical drug.",0.651578946972708
0,yd7tu7u4,1096,drug,"Up to 10 commercial medicines that may form hydrogen bounds to key residues within the binding pocket of 2019-nCoV Mpro were identified, which may have higher mutation tolerance than lopinavir/ritonavir and may also function as inhibitors for other coronaviruses with similar Mpro binding sites and pocket structures.",0.6514326279411684
