,pid,newpid,category,sent,newscore
2,vbgf50os,190,drug,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19).",0.8568238056861319
195,hj675z1b,261,drug,"Using the same molecular insight, we selected two other anti-viral agents, Alovudine and AZT (an FDA approved HIV/AIDS drug) for evaluation as inhibitors of SARS-CoV RdRp.",0.8529841131809837
62,8prn86g6,168,drug,"Here, using polymerase extension experiments, we have demonstrated that the active triphosphate form of Sofosbuvir (a key component of the FDA approved hepatitis C drug EPCLUSA), is incorporated by SARS-CoV-2 RdRp, and blocks further incorporation.",0.852545598847593
171,r49ox9x9,2744,drug,"However, it was found that a mixture of two HIV-1 proteinase inhibitors, lopinavir and ritonavir, exhibited some signs of effectiveness against the SARS virus.",0.8522902070562324
39,drrs2tc1,4862,drug,Mizoribine and ribavirin selectively inhibited replication of SARS-CoV.,0.8522776474740774
5,5lzzobl3,18950,drug,Chloroquine is a clinically approved drug effective against malaria.,0.8519411601129978
102,f6muhf3d,164,drug,"Among these, the antivirals ledipasvir or velpatasvir are particularly attractive as therapeutics to combat the new coronavirus with minimal side effects, commonly fatigue and headache.",0.851166487619996
176,8prn86g6,169,drug,"Using the same molecular insight, we selected the active triphosphate forms of three other anti-viral agents, Alovudine, AZT (an FDA approved HIV/AIDS drug) and Tenofovir alafenamide (TAF, an FDA approved drug for HIV and hepatitis B) for evaluation as inhibitors of SARS-CoV-2 RdRp.",0.8508780869095904
47,ds5hm731,17616,drug,Oseltamivir is an oral agent approved for prophylaxis and the treatment of influenza infections.,0.8502263765643756
130,nbgdmavr,23223,drug,Our results demonstrated that ribavirin treatment dose-dependently inhibited the replication of both nidoviruses.,0.8501298100467081
69,drrs2tc1,4865,drug,Mizoribine inhibited replication of SARS-CoV more strongly than ribavirin.,0.8500865696053947
142,5lzzobl3,18955,drug,"Chloroquine, an old antimalarial drug, may be considered for immediate use in the prevention and treatment of SARS-CoV infections.",0.8495919318424772
29,0hbeso65,16931,drug,The current therapy for HCV infection consists of a combination of Pegylated interferon and ribavirin.,0.849080102134949
377,77cylm1o,6157,drug,"Here we report that the HIV-1 protease inhibitor, nelfinavir, strongly inhibited replication of the SARS coronavirus (SARS-CoV).",0.8490091016071581
441,dpcpg5c1,93,drug,"Based on our molecular insight that the hepatitis C virus and the coronavirus use a similar viral genome replication mechanism, we reasoned that the FDA-approved drug EPCLUSA (Sofosbuvir/Velpatasvir) for the treatment of hepatitis C will also inhibit the above coronaviruses, including 2019-nCoV.",0.8489696776994737
126,qcbskifq,22314,drug,"Additionally, the resistance of SARS-CoV to ribavirin (RBV) demonstrates the need to define new targets for inhibition of CoV replication.",0.8485403251947998
81,wl83d6gs,21659,drug,"In this report, ribavirin was shown to inhibit SARS-CoV replication in five different cell types of animal or human origin at therapeutically achievable concentrations.",0.8479963608459966
242,vbgf50os,194,drug,"It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP.",0.8475889368801699
616,qmg58cgr,128,drug,The focused drug repurposing of known approved drugs (such as lopinavir/ritonavir) has been reported failed for curing SARS-CoV-2 infected patients.,0.8474827532487039
139,d4loia11,1454,drug,"To allow structure-based design of drugs directed at SARS-CoV main proteinase, we predicted its binding pockets and affinities with existing HIV, psychotic and parasite drugs (lopinavir, ritonavir, niclosamide and promazine), which show signs of inhibiting the replication of SARS-CoV.",0.8474498891915985
92,hj675z1b,260,drug,"SARS-CoV-2, a member of the coronavirus family, has caused a global public health emergency.1 Based on our analysis of hepatitis C virus and coronavirus replication, and the molecular structures and activities of viral inhibitors, we previously reasoned that the FDA-approved heptatitis C drug EPCLUSA (Sofosbuvir/Velpatasvir) should inhibit coronaviruses, including SARS-CoV-2.2 Here, using model polymerase extension experiments, we demonstrate that the activated triphosphate form of Sofosbuvir is incorporated by low-fidelity polymerases and SARS-CoV RNA-dependent RNA polymerase (RdRp), and blocks further incorporation by these polymerases; the activated triphosphate form of Sofosbuvir is not incorporated by a host-like high-fidelity DNA polymerase.",0.847277462159407
122,3moa7cpg,13237,drug,"To validate commonly used antiviral drugs, we evaluated the effect of ribavirin, a drug used to treat hepatitis C with interferon-β (IFN-β), on ZIKV replication.",0.8472594388885077
129,nbgdmavr,23228,drug,"Taken together, our data indicate that ribavirin might not only be a good therapeutic agent against porcine nidovirus, but also a potential candidate to be evaluated against other human and animal coronaviruses.",0.8465354790819122
