,title,sent,category
0,HIV protease inhibitor nelfinavir inhibits replication of SARS-associated coronavirus,Quantitative RT-PCR analysis showed that nelfinavir could decrease the production of virions from Vero cells.,antihiv
1,HIV protease inhibitor nelfinavir inhibits replication of SARS-associated coronavirus,Our results suggest that nelfinavir should be examined clinically for the treatment of SARS and has potential as a good lead compound for designing anti-SARS drugs.,antihiv
2,HIV protease inhibitor nelfinavir inhibits replication of SARS-associated coronavirus,Expression of viral antigens was much lower in infected cells treated with nelfinavir than in untreated infected cells.,antihiv
3,HIV protease inhibitor nelfinavir inhibits replication of SARS-associated coronavirus,"Here we report that the HIV-1 protease inhibitor, nelfinavir, strongly inhibited replication of the SARS coronavirus (SARS-CoV).",antihiv
4,"Molecular Modeling Evaluation of the Binding Effect of Ritonavir, Lopinavir and Darunavir to Severe Acute Respiratory Syndrome Coronavirus 2 Proteases","Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19).",antihiv
5,"Molecular Modeling Evaluation of the Binding Effect of Ritonavir, Lopinavir and Darunavir to Severe Acute Respiratory Syndrome Coronavirus 2 Proteases","Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes.",antihiv
6,"Molecular Modeling Evaluation of the Binding Effect of Ritonavir, Lopinavir and Darunavir to Severe Acute Respiratory Syndrome Coronavirus 2 Proteases","It is suggested that the therapeutic effect of ritonavir and lopinavir on COVID-19 may be mainly due to their inhibitory effect on CEP_C30, while ritonavir may have stronger efficacy; the inhibitory effect of darunavir on SARS-CoV-2 and its potential therapeutic effect may be mainly due to its inhibitory effect on PLVP.",antihiv
7,Unrevealing sequence and structural features of novel coronavirus using in silico approaches: The main protease as molecular target,"Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease.",antihiv
8,Unrevealing sequence and structural features of novel coronavirus using in silico approaches: The main protease as molecular target,Previous reports showed that HIV-1 protease inhibitors could block SARS-CoV main protease.,antihiv
9,"Nelfinavir was predicted to be a potential inhibitor of 2019-nCov main protease by an integrative approach combining homology modelling, molecular docking and binding free energy calculation","Both MM/GBSA and SIE methods voted for nelfinavir, with the binding free energy of −24.69±0.52 kcal/mol and −9.42±0.04 kcal/mol, respectively.",antihiv
10,"Nelfinavir was predicted to be a potential inhibitor of 2019-nCov main protease by an integrative approach combining homology modelling, molecular docking and binding free energy calculation","Therefore, we suggested that nelfinavir might be a potential inhibitor against 2019-nCov Mpro.",antihiv
11,Sometimes Intermediates Do the Job!,"describe potent inhibition of the enzyme by benzotriazole esters, which were originally obtained as intermediates in the synthesis of lopinavir derivatives [1].",antihiv
12,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model","Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",antihiv
13,"Predicting commercially available antiviral drugs that may act on the novel coronavirus (2019-nCoV), Wuhan, China through a drug-target interaction deep learning model","The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM).",antihiv
14,AI-aided design of novel targeted covalent inhibitors against SARS-CoV-2,The focused drug repurposing of known approved drugs (such as lopinavir/ritonavir) has been reported failed for curing SARS-CoV-2 infected patients.,antihiv
15,AI-aided design of novel targeted covalent inhibitors against SARS-CoV-2,These compounds can be used as potential candidates for researchers in their development of drugs against SARS-CoV-2.,antihiv
