ritonavir,Can ritonavir treat COVID-19
lopinavir,Can lopinavir treat COVID-19
darunavir,Can darunavir treat COVID-19
AZT,Can AZT treat COVID-19
nelfinavir,Can nelfinavir treat COVID-19
TAF,Can TAF treat COVID-19
Tenofovir diphosphate,Can Tenofovir diphosphate treat COVID-19
efavirenz,Can efavirenz treat COVID-19
saquinavir,Can saquinavir treat COVID-19
Tenofovir alafenamide,Can Tenofovir alafenamide treat COVID-19
lopinavir/ritonavir,Can lopinavir/ritonavir treat COVID-19
Sofosbuvir,Can Sofosbuvir treat COVID-19
Sofosbuvir/Velpatasvir,Can Sofosbuvir/Velpatasvir treat COVID-19
IDX-184,Can IDX-184 treat COVID-19
ledipasvir,Can ledipasvir treat COVID-19
velpatasvir,Can velpatasvir treat COVID-19
sofosbuvir/velpatasvir,Can sofosbuvir/velpatasvir treat COVID-19
hydroxychloroquine,Can hydroxychloroquine treat COVID-19
Hydroxychloroquine,Can Hydroxychloroquine treat COVID-19
choloroquine/hydrocholoroquine,Can choloroquine/hydrocholoroquine treat COVID-19
mercaptopurine,Can mercaptopurine treat COVID-19
sirolimus,Can sirolimus treat COVID-19
glucocorticoids,Can glucocorticoids treat COVID-19
Alovudine,Can Alovudine treat COVID-19
ribavirin,Can ribavirin treat COVID-19
SARS 3CL protease inhibitors,Can SARS 3CL protease inhibitors treat COVID-19
Oseltamivir,Can Oseltamivir treat COVID-19
Remdesivir,Can Remdesivir treat COVID-19
Hydroxychloroquine,Can Hydroxychloroquine treat COVID-19
Chloroquine,Can Chloroquine treat COVID-19
Deferoxamine,Can Deferoxamine treat COVID-19
Favipiravir,Can Favipiravir treat COVID-19
Aspirin,Can Aspirin treat COVID-19
Huaier Granule,Can Huaier Granule treat COVID-19
Losartan,Can Losartan treat COVID-19
DAS181,Can DAS181 treat COVID-19
Losartan,Can Losartan treat COVID-19
Recombinant human angiotensin- converting enzyme 2,Can Recombinant human angiotensin- converting enzyme 2 treat COVID-19
Naproxen,Can Naproxen treat COVID-19
Traditional Chinese Medicine,Can Traditional Chinese Medicine treat COVID-19
Lopinavir/ritonavir,Can Lopinavir/ritonavir treat COVID-19
Baricitinib,Can Baricitinib treat COVID-19
Tocilizumab,Can Tocilizumab treat COVID-19
Azithromycin,Can Azithromycin treat COVID-19
Convalescent Plasma,Can Convalescent Plasma treat COVID-19
Ciclesonide Metered Dose Inhaler,Can Ciclesonide Metered Dose Inhaler treat COVID-19
Sarilumab,Can Sarilumab treat COVID-19
Peginterferon Lambda-1a,Can Peginterferon Lambda-1a treat COVID-19
Anakinra,Can Anakinra treat COVID-19
Siltuximab,Can Siltuximab treat COVID-19
Sildenafil citrate,Can Sildenafil citrate treat COVID-19
Sargramostim,Can Sargramostim treat COVID-19
Nitric Oxide Gas,Can Nitric Oxide Gas treat COVID-19
CAP-1002,Can CAP-1002 treat COVID-19
Tranexamic acid,Can Tranexamic acid treat COVID-19
Pathogen-specific aAPC,Can Pathogen-specific aAPC treat COVID-19
Ruxolitinib,Can Ruxolitinib treat COVID-19
Tranexamic acid tablets,Can Tranexamic acid tablets treat COVID-19
Atovaquone,Can Atovaquone treat COVID-19
RhACE2,Can RhACE2 treat COVID-19
APN01,Can APN01 treat COVID-19
Methylprednisolone,Can Methylprednisolone treat COVID-19
Vitamin C,Can Vitamin C treat COVID-19
Vitamin D,Can Vitamin D treat COVID-19
Zinc,Can Zinc treat COVID-19
WJ-MSCs,Can WJ-MSCs treat COVID-19
PUL-042,Can PUL-042 treat COVID-19
Levamisole,Can Levamisole treat COVID-19
Tetrandrine,Can Tetrandrine treat COVID-19
LV- SMENP-DC ,Can LV- SMENP-DC  treat COVID-19
Bevacizumab,Can Bevacizumab treat COVID-19
Chloroquine phosphate,Can Chloroquine phosphate treat COVID-19
halidomide,Can halidomide treat COVID-19
Dexamethasone,Can Dexamethasone treat COVID-19
BCG Vaccine,Can BCG Vaccine treat COVID-19
Kaletra,Can Kaletra treat COVID-19
rhACE2,Can rhACE2 treat COVID-19
Budesonide,Can Budesonide treat COVID-19
Formoterol,Can Formoterol treat COVID-19
Azithromycin,Can Azithromycin treat COVID-19
