,pid,newpid,category,sent,newscore,answer,keyword
0,7y7ke10e,38011,animal,Vaccination is an effective method to prevent the spread of infectious diseases.,0.4889014028972361,vaccination is an effective method to prevent the spread of infectious diseases,effective
1,rme6b022,6604,animal,Vaccination is an effective approach to prevent TGEV infection.,0.4887142998314205,vaccination is an effective approach to prevent tgev infection,effective
2,j7bqvdvw,33446,animal,Our data indicate that antibody-mediated immunotherapy is effective in treating ZIKV infection.,0.488675059158574,antibody-mediated immunotherapy is effective in treating zikv infection,effective
3,ql30rv83,21976,animal,Our results showed that immunized mice generated strong humoral immune responses against the SL-CoV S protein.,0.4883133955156017,immunized mice,mice
4,iiv08rcq,12687,animal,Our results show that chimeric VLP can be an effective vaccine strategy against SCoV infection.,0.4881447987629854,vaccine strategy against scov infection,effective
5,jrj0q2qr,8885,animal,The safety and stability of recombinant Salmonella vaccine were evaluated.,0.4880755413374136,the safety and stability of recombinant salmonella vaccine,safety
6,unjz4kzi,8404,animal,Many studies are currently investigating the development of safe and effective vaccines to prevent various infectious diseases.,0.4880426543847965,vaccines to prevent various infectious diseases,safety
7,axkdf5vu,2662,animal,Viral vaccine vectors have shown to be effective in inducing a robust immune response against the vaccine antigen.,0.4880350294999301,viral vaccine vectors,effective
8,jna496x7,15823,animal,We measured the effectiveness of immunization with the single-cycle vaccine in mice.,0.4879966590035604,mice,titer
9,laai8ohw,12824,animal,"Currently, effective vaccines against norovirus infection are not available.",0.4879307196666064,vaccines against norovirus infection,effective
10,fs6ydi4y,9629,animal,"Therefore, an effective vaccine against HPV infections may lead to the control of cervical cancer.",0.4878772684979192,vaccine against hpv infections may lead to the control of cervical cancer,effective
11,nyyunoha,20926,animal,Both vaccine preparations also induced comparable levels of neutralizing antibodies in mice.,0.4878643938323453,mice,titer
12,jqy7lcbk,30516,animal,The responses of the immunized mice differed markedly.,0.4878486784837474,immunized mice,mice
13,y9083ej6,20345,animal,Safe and effective vaccines have been developed to prevent severe rotavirus disease in young children.,0.4878410778116005,vaccines have been developed to prevent severe rotavirus disease in young children,safety
14,k0nzt0tp,31385,animal,Immunization tests performed in mice resulted in the induction of humoral immunity using the optimized genes.,0.4878351742469572,mice,evaluation
15,141u6ax7,2924,animal,The application of this innovative DNA technology has considerable potential in the development of effective vaccines.,0.4878158680456185,vaccines,effective
16,hyg0464p,30803,animal,Mucosal immunization of influenza vaccine is potentially an effective approach for the prevention and control of influenza.,0.4877562155410322,animal models,animal model
17,id1cxmk1,24397,animal,The results showed marked differences in the responses of the immunized mice.,0.487702633593806,immunized mice,mice
18,ynef1d1t,8060,animal,Viral load and immune responses of immunized mice were analyzed over time.,0.4876397791690586,immunized mice,mice
19,vt9pbw85,8644,animal,"Studies have shown that VLP vaccines can stimulate both humoral and cellular immune responses, which may offer effective antiviral protection.",0.4876308559269898,antiviral protection,effective
20,081o2zmd,20852,animal,"In addition, the DNA vaccines induced a high level of IFN-γ in the immunized mice.",0.4876062673828277,mice,pig
21,x32eqn6j,28892,animal,An effective vaccination regime against RV can substantially reduce morbidity and mortality.,0.4876052978404579,rv can substantially reduce morbidity and mortality,effective
22,1d3xthbh,8014,animal,The development of vaccines plays a vital role in the effective control of several fatal diseases.,0.4876006520069168,vaccines,effective
23,qx9flfme,14622,animal,A single dose of immunization induced full protection against lethal challenge with JEV strains in mice.,0.4875984214228036,mice,titer
24,laai8ohw,12813,animal,Development of an effective vaccine is required for reducing norovirus outbreaks.,0.4875687081210322,animal models,animal model
25,0l3w2epc,17470,animal,Plant-derived antigen was evaluated to induce the systemic and mucosal immune responses in mice.,0.4875338695607042,mice,evaluation
26,h1xzj01e,19236,animal,It could induce strong humoral and cellular immune responses and high titers of neutralizing antibodies in the vaccinated mice.,0.4875288536058042,mice,titer
27,dgeisr8h,7085,animal,Adenovirus vectored vaccines are a highly effective strategy to induce cellular immune responses which are particularly effective against intracellular pathogens.,0.4875155267904978,adenovirus vectored vaccines are a highly effective strategy to induce cellular immune responses which are particularly effective against intracellular pathogens,effective
28,ccmd0dw8,9360,animal,Impulsive vaccination is considered as an effective option to control an infectious disease.,0.4875122750822236,impulsive vaccination,effective
29,t2vdzppd,21091,animal,"Fortunately, effective antiviral therapies have been developed for many of these viruses.",0.4875005550498995,viruses,effective
30,szpktvq4,3614,animal,"However, there are few safe and effective vaccines against HPV infections.",0.4874893796936495,vaccines against hpv infections,effective
31,9u2tl1d5,24670,animal,Our data demonstrates that the recombinant baculovirus can serve as an effective vaccine strategy.,0.4874885076965706,vaccine,effective
32,wp6yklrx,5207,animal,"Interestingly, only mice immunized with pS1 demonstrated significant S1-specific cellular immune response.",0.4874862215047143,mice,pig
33,dn2z3alc,4061,animal, Vaccination is the most effective means of preventing and controlling viral infections.,0.4874850665373353,vaccination is the most effective means of preventing and controlling viral infections,effective
34,59bgr2bt,1870,animal,Vaccination is the most effective strategy for prevention and control of influenza.,0.4874732706439731,vaccination is the most effective strategy for prevention and control of influenza,effective
35,l9m6flpy,17305,animal,Preliminary studies show that these particles provide specific and strong immune responses in mice when orally delivered.,0.4874673293235288,mice,titer
36,2jpzxyoq,38808,animal,Passive immunization with neutralizing antibodies against PEDV is an effective prevention measure.,0.4874320693087203,passive immunization with neutralizing antibodies against pedv,effective
37,nax9ik3w,7798,animal,Our results indicate that the FML-vaccine was effective in the immunotherapy against visceral leishmaniasis of asymptomatic infected dogs.,0.4874277402155573,dogs,titer
38,od484ub1,11176,animal,MERS-CoV challenge experiments indicated the protective capacity of these immune responses in vaccinated mice.,0.4874171646990544,vaccinated mice,mice
39,4vx7ez7s,10325,animal,"However, an effective mucosal vaccine against the currently prevalent PEDV strain is not available.",0.4873697782964529,mucosal vaccine,effective
