,animal
0,0
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,0
230,1
231,0
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,0
298,0
299,0
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,1
321,1
322,0
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,1
388,1
389,0
390,0
391,1
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,0
439,1
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,1
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,0
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,1
