,antiviral
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,1
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,1
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,1
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,0
538,1
539,0
540,0
541,1
542,1
543,0
544,1
545,0
546,0
547,0
548,0
549,1
550,1
551,1
552,0
553,1
554,0
555,0
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,1
611,1
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,1
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,0
682,1
683,1
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,0
693,1
694,1
695,0
696,1
697,0
698,1
699,0
700,0
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,1
713,1
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,0
751,1
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,0
760,1
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,0
775,1
776,0
777,0
778,0
779,1
780,1
781,0
782,1
783,0
784,0
785,1
786,0
787,1
788,0
789,1
790,0
791,1
792,0
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,1
801,1
802,0
803,1
804,0
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,0
813,0
814,0
815,1
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,0
829,1
830,0
831,0
832,1
833,1
834,0
835,1
836,0
837,1
838,1
839,0
840,1
841,0
842,1
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,1
857,0
858,0
859,0
860,0
861,1
862,1
863,1
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,0
879,0
880,0
881,0
882,1
883,0
884,0
885,1
886,0
887,0
888,1
889,0
890,1
891,0
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,0
909,1
910,1
911,0
912,0
913,0
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,0
923,1
924,1
925,0
926,1
927,0
928,0
929,1
930,1
931,0
932,1
933,0
934,0
935,1
936,1
937,1
938,1
939,1
940,0
941,0
942,1
943,1
944,1
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,0
964,0
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,1
973,0
974,0
975,0
976,1
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,1
990,1
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,1
1001,1
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
1060,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,1
1067,0
1068,0
1069,0
1070,1
1071,1
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,1
1086,1
1087,1
1088,0
1089,1
1090,0
1091,1
1092,1
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,1
1101,1
1102,1
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,1
1115,0
1116,1
1117,1
1118,0
1119,1
1120,0
1121,1
1122,1
1123,1
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,0
1148,1
1149,1
1150,0
1151,1
1152,1
1153,1
1154,0
1155,1
1156,0
1157,1
1158,0
1159,0
1160,1
1161,0
1162,1
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,1
1170,0
1171,0
1172,1
1173,1
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,0
1181,1
1182,0
1183,0
1184,0
1185,1
1186,0
1187,1
1188,0
1189,0
1190,1
1191,0
1192,0
1193,1
1194,0
1195,0
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,0
1203,0
1204,0
1205,1
1206,0
1207,0
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,1
1223,0
1224,1
1225,1
1226,0
1227,1
1228,0
1229,0
