,antiviral
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,1
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,1
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,1
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,1
504,0
505,1
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,1
516,0
517,0
518,0
519,0
520,0
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,1
531,0
