,pid,newpid,category,sent,newscore
243,j10308i3,19,coravacine,The spike protein of coronaviruses is the main driving force for host cell recognition.,0.8001007969119867
168,lv8mll28,3388,coravacine,"Additionally, monoclonal RBD antibodies were prepared to confirm RBD binding to target cells through ACE2.",0.7988710625071788
124,sva2otk4,520,coravacine,"Treatment of the cells with heparinase or exogenous heparin prevented binding of spike protein to host cells and inhibited SARS pseudovirus infection, demonstrating that HSPGs provide the binding sites for SARS-CoV invasion at the early attachment phase.",0.7981080449326899
187,lv8mll28,3385,coravacine,"The spike protein of SARS-CoV consists of S1 and S2 domains, which are responsible for virus binding and fusion, respectively.",0.7977155684943972
220,0d77ojnb,698,coravacine,The data demonstrate an interaction between the recombinant surface receptor binding domain and the polysaccharide.,0.7970989940859198
246,ebbzx8yr,626,coravacine,"Comparable to the first SARS-CoV, this novel coronavirus’s surface Spike (S) glycoprotein mediates cell entry via the human ACE-2 receptor, and, thus, is the principal target for the development of vaccines and immunotherapeutics.",0.7967907916445491
80,zwhavf4h,4008,coravacine, The severe acute respiratory syndrome coronavirus (SARS-CoV) spike protein is known to mediate receptor interaction and immune recognition and thus it is considered as a major target for vaccine design.,0.7962796194299849
126,ezpjdz55,152,coravacine,"Here, we characterized the structure of the N-NTD and its interaction with RNA using NMR spectroscopy.",0.7962741653748103
319,unvabosp,686,coravacine,The receptor binding domain (RBD) of the SARS-CoV-2 S protein plays the key role in the tight binding to human receptor ACE2 for viral entry.,0.7962490311470748
251,2xxqqjj0,4644,coravacine, Infection by severe acute respiratory syndrome coronavirus (SARS-CoV) is initiated by specific interactions between the SARS-CoV spike (S) protein and its receptor ACE2.,0.796207948886278
148,2i6795ga,2567,coravacine,Docking studies were performed to model the binding interaction of the compound 26m with the SARS-CoV 3CL protease.,0.7959724346017815
361,5hpbjkft,802,coravacine,"SP bound to CD147, a receptor on the host cells, thereby mediating the viral invasion.",0.7956343394974299
234,5xcil8eb,5204,coravacine,Second ACE2 was identified as an essential receptor for the SARS coronavirus that causes severe acute lung failure.,0.7956312022135883
206,lv8mll28,3387,coravacine,"Here, a recombinant fusion protein containing 193-amino acid RBD (residues 318–510) and glutathione S-transferase were prepared for binding to target cells.",0.7955926959483303
143,ihjcc9z9,3401,coravacine,"Here, we further characterized the S protein by investigating the roles of the cytoplasmic tail and 19 residues located in the RBD in protein accumulation, receptor binding, and pseudotype virus entry.",0.7953663085743535
172,0y0hau9l,3848,coravacine,"By using surface plasmon resonance, we demonstrated that HKU9-RBD binds to neither SARS-CoV receptor ACE2 nor MERS-CoV receptor CD26.",0.7952942075664915
149,h5ire02h,1573,coravacine,"By using genomic, sequence, structural and evolutionary analysis, we show that Alpha- and Beta-CoVs possess several novel families of immunoglobulin (Ig) domain proteins, including ORF8 and ORF7a from SARS-related coronaviruses and two protein groups from certain Alpha-CoVs.",0.7950857714443956
54,70xvrfbg,2561,coravacine,"Moreover, in molecular docking study, this epitope was found to have a significant binding affinity of -8.5 kcal/mol towards the binding cleft of the HLA-C*12:03 molecule.",0.7948197414835346
55,uq2idlca,1603,coravacine,"Furthermore, the crystal structure of the MERS-CoV macro domain was determined at 1.43-Å resolution in complex with ADP-ribose.",0.7947668826614648
121,ihjcc9z9,3399,coravacine, The spike (S) protein of human coronavirus NL63 (HCoV-NL63) mediates both cell attachment by binding to its receptor hACE2 and membrane fusion during virus entry.,0.7947182156752691
330,dqxfcwyu,58,coravacine,The result showed that CR3022 neutralizing antibody from human may have higher binding affinity with SARS-CoV-2 S protein than SARS-CoV S protein.,0.7944035825185918
117,j0392vu6,7053,coravacine,"Using T cell receptor gene transfer, we generated SARS-specific redirected T cells from the lymphocytes of normal individuals.",0.7944026974038217
372,rzf0cw1x,5139,coravacine,"Thus, peptide-based vaccines against SARS-CoV could be engineered to avoid ADE via elimination of the S(597–603) epitope.",0.7943917863253935
140,uq2idlca,1601,coravacine,"However, the precise biochemical function and structure of the macro domain is unclear.",0.7943544405702229
510,3qds5j1p,1688,coravacine,Structure analysis of the spike (S) protein of this new virus showed that its S protein only binds weakly to the ACE2 receptor on human cells whereas the human SARS coronavirus exhibits strongly affinity to the ACE receptor.,0.794197773094052
209,dgnddq80,5875,coravacine,"This may negatively influence the virus-receptor binding and abrogate the infection, with further ramifications by the elevation of vesicular pH, resulting in the inhibition of infection and spread of SARS CoV at clinically admissible concentrations.",0.7940417641391914
254,o6d8b1e4,5590,coravacine,The primary receptor for the human severe acute respiratory syndrome CoV (SARS) CoV is angiotensin-converting enzyme 2 (ACE2).,0.7936300318136723
