,pid,title,abstract
0,eecyduzq,Fast assessment of human receptor-binding capability of 2019 novel coronavirus (2019-nCoV),"The outbreaks of 2002/2003 SARS, 2012/2015 MERS and 2019/2020 Wuhan respiratory syndrome clearly indicate that genome evolution of an animal coronavirus (CoV) may enable it to acquire human transmission ability, and thereby to cause serious threats to global public health. It is widely accepted that CoV human transmission is driven by the interactions of its spike protein (S-protein) with human receptor on host cell surface; so, quantitative evaluation of these interactions may be used to assess the human transmission capability of CoVs. However, quantitative methods directly using viral genome data are still lacking. Here, we perform large-scale protein-protein docking to quantify the interactions of 2019-nCoV S-protein receptor-binding domain (S-RBD) with human receptor ACE2, based on experimental SARS-CoV S-RBD-ACE2 complex structure. By sampling a large number of thermodynamically probable binding conformations with Monte Carlo algorithm, this approach successfully identified the experimental complex structure as the lowest-energy receptor-binding conformations, and hence established an experiment-based strength reference for evaluating the receptor-binding affinity of 2019-nCoV via comparison with SARS-CoV. Our results show that this binding affinity is about 73% of that of SARS-CoV, supporting that 2019-nCoV may cause human transmission similar to that of SARS-CoV. Thus, this study presents a method for rapidly assessing the human transmission capability of a newly emerged CoV and its mutant strains, and demonstrates that post-genome analysis of protein-protein interactions may provide early scientific guidance for viral prevention and control."
1,11060ijh,Investigation into SARS-CoV-2 Resistance of Compounds in Garlic Essential Oil,"[Image: see text] Eighteen active substances, including 17 organosulfur compounds found in garlic essential oil (T), were identified by GC–MS analysis. For the first time, using the molecular docking technique, we report the inhibitory effect of the considered compounds on the host receptor angiotensin-converting enzyme 2 (ACE2) protein in the human body that leads to a crucial foundation about coronavirus resistance of individual compounds on the main protease (PDB6LU7) protein of SARS-CoV-2. The results show that the 17 organosulfur compounds, accounting for 99.4% contents of the garlic essential oil, have strong interactions with the amino acids of the ACE2 protein and the main protease PDB6LU7 of SARS-CoV-2. The strongest anticoronavirus activity is expressed in allyl disulfide and allyl trisulfide, which account for the highest content in the garlic essential oil (51.3%). Interestingly, docking results indicate the synergistic interactions of the 17 substances, which exhibit good inhibition of the ACE2 and PDB6LU7 proteins. The results suggest that the garlic essential oil is a valuable natural antivirus source, which contributes to preventing the invasion of coronavirus into the human body."
3,j10308i3,COVID-19 spike-host cell receptor GRP78 binding site prediction," Objectives Understanding the novel coronavirus (COVID-19) mode of host cell recognition may help to fight the disease and save lives. The spike protein of coronaviruses is the main driving force for host cell recognition. Methods In this study, the COVID-19 spike binding site to the cell-surface receptor (Glucose Regulated Protein 78 (GRP78)) is predicted using combined molecular modeling docking and structural bioinformatics. The COVID-19 spike protein is modeled using its counterpart, the SARS spike. Results Sequence and structural alignments show that four regions, in addition to its cyclic nature have sequence and physicochemical similarities to the cyclic Pep42. Protein-protein docking was performed to test the four regions of the spike that fit tightly in the GRP78 Substrate Binding Domain β (SBDβ). The docking pose revealed the involvement of the SBDβ of GRP78 and the receptor-binding domain of the coronavirus spike protein in recognition of the host cell receptor. Conclusions We reveal that the binding is more favorable between regions III (C391-C525) and IV (C480-C488) of the spike protein model and GRP78. Region IV is the main driving force for GRP78 binding with the predicted binding affinity of -9.8 kcal/mol. These nine residues can be used to develop therapeutics specific against COVID-19."
6,dqxfcwyu,Spike protein binding prediction with neutralizing antibodies of SARS-CoV-2,"Coronavirus disease 2019 (COVID-19) is a new emerging human infectious disease caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, also previously known as 2019-nCoV), originated in Wuhan seafood and animal market, China. Since December 2019, more than 69,000 cases of COVID-19 have been confirmed in China and quickly spreads to other counties. Currently, researchers put their best efforts to identify effective drugs for COVID-19. The neutralizing antibody, which binds to viral capsid in a manner that inhibits cellular entry of virus and uncoating of the genome, is the specific defense against viral invaders. In this study, we investigate to identify neutralizing antibodies that can bind to SARS-CoV-2 Sipke (S) protein and interfere with the interaction between viral S protein and a host receptor by bioinformatic methods. The sequence analysis of S protein showed two major differences in the RBD region of the SARS-CoV-2 S protein compared to SARS-CoV and SARS-CoV related bat viruses (btSARS-CoV). The insertion regions were close to interacting residues with the human ACE2 receptor. Epitope analysis of neutralizing antibodies revealed that SARS-CoV neutralizing antibodies used conformational epitopes, whereas MERS-CoV neutralizing antibodies used a common linear epitope region, which contributes to form the β-sheet structure in MERS-CoV S protein and deleted in SARS-CoV-2 S protein. To identify effective neutralizing antibodies for SARS-CoV-2, the binding affinities of neutralizing antibodies with SARS-CoV-2 S protein were predicted and compared by antibody-antigen docking simulation. The result showed that CR3022 neutralizing antibody from human may have higher binding affinity with SARS-CoV-2 S protein than SARS-CoV S protein. We also found that F26G19 and D12 mouse antibodies could bind to SARS-CoV S protein with high affinity. Our findings provide crucial clues towards the development of antigen diagnosis, therapeutic antibody, and the vaccine against SARS-CoV-2."
7,m0hivi0u,Insight Derived from Molecular Docking and Molecular Dynamics Simulations into the Binding Interactions Between HIV-1 Protease Inhibitors and SARS-CoV-2 3CLpro,"A novel severe acute respiratory syndrome coronavirus (SARS-CoV-2) was identified from respiratory illness patients in Wuhan, Hubei Province, China, which has recently emerged as a serious threat to the world public health. Hower, no approved drugs have been found to effectively inhibit the virus. Since it has been reported that the HIV-1 protease inhibitors can be used as anti-SARS drugs by tegarting SARS-CoV 3CLpro, we choose six approved anti-HIV-1 drugs to investigate their binding interactions between 3CLpro, and to evaluate their potential to become clinical drugs for the new coronavirus pneumonia (COVID19) caused by SARS-CoV-2 infection. The molecular docking results indicate that, the 3CLpro of SARS-CoV-2 has a higher binding affinity for all the studied inhibitors than its SARS homologue. Two docking complexes (indinavir and darunavir) with high docking scores were futher subjected to MM-PBSA binding free energy calculations to detail the molecular interactions between these two proteinase inhibitors and the 3CLpro. Our results show that darunavir has the best binding affinity with SARS-CoV-2 and SARS-CoV 3CLpro among all inhibitors, indicating it has the potential to become an anti-COVID-19 clinical drug. The likely reason behind the increased binding affinity of HIV-1 protease inhibitors toward SARS-CoV2 3CLpro than that of SARS-CoV were investigated by MD simulations. Our study provides insight into the possible role of structural flexibility during interactions between 3CLpro and inhibitors, and sheds light on the structure-based design of anti-COVID-19 drugs targeting the SARS-CoV-2 3CLpro."
12,iy4knx7j,Energetics based epitope screening in SARS CoV-2 (COVID 19) spike glycoprotein by Immuno-informatic analysis aiming to a suitable vaccine development,"The recent outbreak by SARS-CoV-2 has generated a chaos in global health and economy and claimed/infected a large number of lives. Closely resembling with SARS CoV, the present strain has manifested exceptionally higher degree of spreadability, virulence and stability possibly due to some unidentified mutations. The viral spike glycoprotein is very likely to interact with host Angiotensin-Converting Enzyme 2 (ACE2) and transmits its genetic materials and hijacks host machinery with extreme fidelity for self propagation. Few attempts have been made to develop a suitable vaccine or ACE2 blocker or virus-receptor inhibitor within this short period of time. Here, attempt was taken to develop some therapeutic and vaccination strategies with a comparison of spike glycoproteins among SARS-CoV, MERS-CoV and the SARS-CoV-2. We verified their structure quality (SWISS-MODEL, Phyre2, Pymol) topology (ProFunc), motifs (MEME Suite, GLAM2Scan), gene ontology based conserved domain (InterPro database) and screened several epitopes (SVMTrip) of SARS CoV-2 based on their energetics, IC50 and antigenicity with regard to their possible glycosylation and MHC/paratopic binding (Vaxigen v2.0, HawkDock, ZDOCK Server) effects. We screened here few pairs of spike protein epitopic regions and selected their energetic, IC50, MHC II reactivity and found some of those to be very good target for vaccination. A possible role of glycosylation on epitopic region showed profound effects on epitopic recognition. The present work might be helpful for the urgent development of a suitable vaccination regimen against SARS CoV-2."
13,n2tckfjq,Potential inhibitors against papain-like protease of novel coronavirus (SARS-CoV-2) from FDA approved drugs,"Licence: CC BY-NC-ND 4.0 Citation information: Arya, Rimanshee; Das, Amit; Prashar, Vishal; Kumar, Mukesh (2020): Potential inhibitors against papain-like protease of novel coronavirus (SARS-CoV-2) from FDA approved drugs. ChemRxiv. Preprint. https://doi.org/10.26434/chemrxiv.11860011.v2 The cases of 2019 novel coronavirus (SARS-CoV-2) infection have been continuously increasing ever since its outbreak in China last December. Currently, there are no approved drugs to treat the infection. In this scenario, there is a need to utilize the existing repertoire of FDA approved drugs to treat the disease. The rational selection of these drugs could be made by testing their ability to inhibit any SARS-CoV-2 proteins essential for viral life-cycle. We chose one such crucial viral protein, the papain-like protease (PLpro), to screen the FDA approved drugs in silico. The homology model of the protease was built based on the SARS-coronavirus PLpro structure, and the drugs were docked in S3/S4 pockets of the active site of the enzyme. In our docking studies, sixteen FDA approved drugs, including chloroquine and formoterol, was found to bind the target enzyme with significant affinity and good geometry, suggesting their potential to be utilized against the virus. File list (1) download file view on ChemRxiv 2019-nCoV_final_draft2_ChemRxiv.pdf (1.15 MiB)  The cases of 2019 novel coronavirus (SARS-CoV-2) infection have been continuously increasing ever since its outbreak in China last December. Currently, there are no approved drugs to treat the infection. In this scenario, there is a need to utilize the existing repertoire of FDA approved drugs to treat the disease. The rational selection of these drugs could be made by testing their ability to inhibit any SARS-CoV-2 proteins essential for viral life-cycle. We chose one such crucial viral protein, the papain-like protease (PLpro), to screen the FDA approved drugs in silico. The homology model of the protease was built based on the SARS-coronavirus PLpro structure, and the drugs were docked in S3/S4 pockets of the active site of the enzyme. In our docking studies, sixteen FDA approved drugs, including chloroquine and formoterol, was found to bind the target enzyme with significant affinity and good geometry, suggesting their potential to be utilized against the virus."
14,zgdbvfi4,"Nelfinavir was predicted to be a potential inhibitor of 2019-nCov main protease by an integrative approach combining homology modelling, molecular docking and binding free energy calculation","2019-nCov has caused more than 80 deaths as of 27 January 2020 in China, and infection cases have been reported in more than 10 countries. However, there is no approved drug to treat the disease. 2019-nCov Mpro is a potential drug target to combat the virus. We built homology models based on SARS Mpro structures, and docked 1903 small molecule drugs to the models. Based on the docking score and the 3D similarity of the binding mode to the known Mpro ligands, 4 drugs were selected for binding free energy calculations. Both MM/GBSA and SIE methods voted for nelfinavir, with the binding free energy of −24.69±0.52 kcal/mol and −9.42±0.04 kcal/mol, respectively. Therefore, we suggested that nelfinavir might be a potential inhibitor against 2019-nCov Mpro."
15,yd7tu7u4,Potential inhibitors for 2019-nCoV coronavirus M protease from clinically approved medicines,"Starting from December 2019, a novel coronavirus, named 2019-nCoV, was found to cause Severe Acute Respiratory (SARI) symptoms and rapid pandemic in China. With the hope to identify candidate drugs for 2019-nCoV, we adopted a computational approach to screen for available commercial medicines which may function as inhibitors for the Mpro of 2019-nCoV. Up to 10 commercial medicines that may form hydrogen bounds to key residues within the binding pocket of 2019-nCoV Mpro were identified, which may have higher mutation tolerance than lopinavir/ritonavir and may also function as inhibitors for other coronaviruses with similar Mpro binding sites and pocket structures."
16,ezpjdz55,Structural basis of RNA recognition by the SARS-CoV-2 nucleocapsid phosphoprotein,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the causative agent of the Coronavirus disease 2019 (COVID-19) which is currently negatively affecting the population and disrupting the global economy. SARS-CoV-2 belongs to the +RNA virus family that utilize single-stranded positive-sense RNA molecules as genomes. SARS-CoV-2, like other coronaviruses, has an unusually large genome for a +RNA virus that encodes four structural proteins - the matrix (M), small envelope (E), spike (S) and nucleocapsid phosphoprotein (N) - and sixteen nonstructural proteins (nsp1-16) that together ensure replication of the virus in the host cell. The nucleocapsid phosphoprotein N is essential for linking the viral genome to the viral membrane. Its N-terminal RNA binding domain (N-NTD) captures the RNA genome while the C-terminal domain anchors the ribonucleoprotein complex to the viral membrane via its interaction with the M protein. Here, we characterized the structure of the N-NTD and its interaction with RNA using NMR spectroscopy. We observed a positively charged canyon on the surface of the N-NTD lined with arginine residues suggesting a putative RNA binding site. Next, we performed an NMR titration experiment using an RNA duplex. The observed changes in positions of signals in the N-NTD NMR spectra allowed us to construct a model of the N-NTD in complex with RNA."
17,6ojmmmuj,Design of multi epitope-based peptide vaccine against E protein of human COVID-19: An immunoinformatics approach,"BackgroundNew endemic disease has been spread across Wuhan City, China on December 2019. Within few weeks, the World Health Organization (WHO) announced a novel coronavirus designated as coronavirus disease 2019 (COVID-19). In late January 2020, WHO declared the outbreak of a “public-health emergency of international concern” due to the rapid and increasing spread of the disease worldwide. Currently, there is no vaccine or approved treatment for this emerging infection; thus the objective of this study is to design a multi epitope peptide vaccine against COVID-19 using immunoinformatics approach.MethodSeveral techniques facilitating the combination of immunoinformatics approach and comparative genomic approach were used in order to determine the potential peptides for designing the T cell epitopes-based peptide vaccine using the envelope protein of 2019-nCoV as a target.ResultsExtensive mutations, insertion and deletion were discovered with comparative sequencing in COVID-19 strain. Additionally, ten peptides binding to MHC class I and MHC class II were found to be promising candidates for vaccine design with adequate world population coverage of 88.5% and 99.99%, respectively.ConclusionT cell epitopes-based peptide vaccine was designed for COVID-19 using envelope protein as an immunogenic target. Nevertheless, the proposed vaccine is rapidly needed to be validated clinically in order to ensure its safety, immunogenic profile and to help on stopping this epidemic before it leads to devastating global outbreaks."
