pid,title,abstract
5f95gve3,Identification of antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs,"COVID-19 is an emerging infectious disease and was recently declared as a pandemic by WHO. Currently, there is no vaccine or therapeutic available for this disease. Drug repositioning represents the only feasible option to address this global challenge and a panel of fifty FDA-approved drugs that have been pre-selected by an assay of SARS-CoV was screened to identify potential antiviral drug candidates against SARS-CoV-2 infection. We found a total of 24 drugs which exhibited antiviral efficacy (0.1 μM < IC50 < 10 μM) against SARS-CoV-2. In particular, two FDA-approved drugs – niclosamide and ciclesonide – were notable in some respects. These drugs will be tested in an appropriate animal model for their antiviral activities. In near future, these already FDA-approved drugs could be further developed following clinical trials in order to provide additional therapeutic options for patients with COVID-19."
4yuw7jo3,Network-based drug repurposing for novel coronavirus 2019-nCoV/SARS-CoV-2,"Human coronaviruses (HCoVs), including severe acute respiratory syndrome coronavirus (SARS-CoV) and 2019 novel coronavirus (2019-nCoV, also known as SARS-CoV-2), lead global epidemics with high morbidity and mortality. However, there are currently no effective drugs targeting 2019-nCoV/SARS-CoV-2. Drug repurposing, representing as an effective drug discovery strategy from existing drugs, could shorten the time and reduce the cost compared to de novo drug discovery. In this study, we present an integrative, antiviral drug repurposing methodology implementing a systems pharmacology-based network medicine platform, quantifying the interplay between the HCoV–host interactome and drug targets in the human protein–protein interaction network. Phylogenetic analyses of 15 HCoV whole genomes reveal that 2019-nCoV/SARS-CoV-2 shares the highest nucleotide sequence identity with SARS-CoV (79.7%). Specifically, the envelope and nucleocapsid proteins of 2019-nCoV/SARS-CoV-2 are two evolutionarily conserved regions, having the sequence identities of 96% and 89.6%, respectively, compared to SARS-CoV. Using network proximity analyses of drug targets and HCoV–host interactions in the human interactome, we prioritize 16 potential anti-HCoV repurposable drugs (e.g., melatonin, mercaptopurine, and sirolimus) that are further validated by enrichment analyses of drug-gene signatures and HCoV-induced transcriptomics data in human cell lines. We further identify three potential drug combinations (e.g., sirolimus plus dactinomycin, mercaptopurine plus melatonin, and toremifene plus emodin) captured by the “Complementary Exposure” pattern: the targets of the drugs both hit the HCoV–host subnetwork, but target separate neighborhoods in the human interactome network. In summary, this study offers powerful network-based methodologies for rapid identification of candidate repurposable drugs and potential drug combinations targeting 2019-nCoV/SARS-CoV-2."
b4mdiont,Network-based Drug Repurposing for Human Coronavirus,"Human Coronaviruses (HCoVs), including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle east respiratory syndrome coronavirus (MERS-CoV), and 2019 novel coronavirus (2019-nCoV), lead global epidemics with high morbidity and mortality. However, there are currently no effective drugs targeting 2019-nCoV. Drug repurposing, represented as an effective drug discovery strategy from existing drugs, could shorten the time and reduce the cost compared to de novo drug discovery. In this study, we present an integrative, antiviral drug repurposing methodology implementing a systems pharmacology-based network medicine platform, quantifying the interplay between the HCoV-host interactome and drug targets in the human protein-protein interaction network. Phylogenetic analyses of 15 HCoV whole genomes reveal that 2019-nCoV has the highest nucleotide sequence identity with SARS-CoV (79.7%) among the six other known pathogenic HCoVs. Specifically, the envelope and nucleocapsid proteins of 2019-nCoV are two evolutionarily conserved regions, having the sequence identities of 96% and 89.6%, respectively, compared to SARS-CoV. Using network proximity analyses of drug targets and known HCoV-host interactions in the human protein-protein interactome, we computationally identified 135 putative repurposable drugs for the potential prevention and treatment of HCoVs. In addition, we prioritized 16 potential anti-HCoV repurposable drugs (including melatonin, mercaptopurine, and sirolimus) that were further validated by enrichment analyses of drug-gene signatures and HCoV-induced transcriptomics data in human cell lines. Finally, we showcased three potential drug combinations (including sirolimus plus dactinomycin, mercaptopurine plus melatonin, and toremifene plus emodin) captured by the Complementary Exposure pattern: the targets of the drugs both hit the HCoV-host subnetwork, but target separate neighborhoods in the human protein-protein interactome network. In summary, this study offers powerful network-based methodologies for rapid identification of candidate repurposable drugs and potential drug combinations toward future clinical trials for HCoVs."
nbjili3v,Drug repurposing strategies for COVID-19,"COVID-19 has now been declared a pandemic and new treatments are urgently needed as we enter a phase beyond containment. Developing new drugs from scratch is a lengthy process, thus impractical to face the immediate global challenge. Drug repurposing is an emerging strategy where existing medicines, having already been tested safe in humans, are redeployed to combat difficult-to-treat diseases. While using such repurposed drugs individually may ultimately not yield a significant clinical benefit, carefully combined cocktails could be very effective, as was for HIV in the 1990s; the urgent question now being which combination."
jbc74lcu,FDA approved drugs with broad anti-coronaviral activity inhibit SARS-CoV-2 in vitro,"SARS-CoV-2 emerged in China at the end of 2019 and has rapidly become a pandemic with over 400,000 recorded COVID-19 cases and greater than 19,000 recorded deaths by March 24th, 2020 (www.WHO.org) (1). There are no FDA approved antivirals or vaccines for any coronavirus, including SARS-CoV-2 (2). Current treatments for COVID-19 are limited to supportive therapies and off-label use of FDA approved drugs (3). Rapid development and human testing of potential antivirals is greatly needed. A potentially quicker way to test compounds with antiviral activity is through drug re-purposing (2, 4). Numerous drugs are already approved for use in humans and subsequently there is a good understanding of their safety profiles and potential side effects, making them easier to test in COVID-19 patients. Here, we present data on 20 FDA approved drugs tested for antiviral activity against SARS-CoV-2 that we have previously found to inhibit SARS-CoV and MERS-CoV (4). We find that 17 of these also inhibit SARS-CoV-2 at a range of IC50 values at non-cytotoxic concentrations. From these we specifically followed up with hydroxychloroquine sulfate and chloroquine phosphate."
b31ctbat,Analysis of therapeutic targets for SARS-CoV-2 and discovery of potential drugs by computational methods,"SARS-CoV-2 has caused tens of thousands of infections and more than one thousand deaths. There are currently no registered therapies for treating coronavirus infections. Because of time consuming process of new drug development, drug repositioning may be the only solution to the epidemic of sudden infectious diseases. We systematically analyzed all the proteins encoded by SARS-CoV-2 genes, compared them with proteins from other coronaviruses, predicted their structures, and built 19 structures that could be done by homology modeling. By performing target-based virtual ligand screening, a total of 21 targets (including two human targets) were screened against compound libraries including ZINC drug database and our own database of natural products. Structure and screening results of important targets such as 3-chymotrypsin-like protease (3CLpro), Spike, RNA-dependent RNA polymerase (RdRp), and papain like protease (PLpro) were discussed in detail. In addition, a database of 78 commonly used anti-viral drugs including those currently on the market and undergoing clinical trials for SARS-CoV-2 was constructed. Possible targets of these compounds and potential drugs acting on a certain target were predicted. This study will provide new lead compounds and targets for further in vitro and in vivo studies of SARS-CoV-2, new insights for those drugs currently ongoing clinical studies, and also possible new strategies for drug repositioning to treat SARS-CoV-2 infections."
hq5um68k,"Novel and potent inhibitors targeting DHODH, a rate-limiting enzyme in de novo pyrimidine biosynthesis, are broad-spectrum antiviral against RNA viruses including newly emerged coronavirus SARS-CoV-2","Emerging and re-emerging RNA viruses occasionally cause epidemics and pandemics worldwide, such as the on-going outbreak of coronavirus SARS-CoV-2. Existing direct-acting antiviral (DAA) drugs cannot be applied immediately to new viruses because of virus-specificity, and the development of new DAA drugs from the beginning is not timely for outbreaks. Thus, host-targeting antiviral (HTA) drugs have many advantages to fight against a broad spectrum of viruses, by blocking the viral replication and overcoming the potential viral mutagenesis simultaneously. Herein, we identified two potent inhibitors of DHODH, S312 and S416, with favorable drug-like and pharmacokinetic profiles, which all showed broad-spectrum antiviral effects against various RNA viruses, including influenza A virus (H1N1, H3N2, H9N2), Zika virus, Ebola virus, and particularly against the recent novel coronavirus SARS-CoV-2. Our results are the first to validate that DHODH is an attractive host target through high antiviral efficacy in vivo and low virus replication in DHODH knocking-out cells. We also proposed the drug combination of DAA and HTA was a promising strategy for anti-virus treatment and proved that S312 showed more advantageous than Oseltamivir to treat advanced influenza diseases in severely infected animals. Notably, S416 is reported to be the most potent inhibitor with an EC50 of 17nM and SI value >5882 in SARS-CoV-2-infected cells so far. This work demonstrates that both our self-designed candidates and old drugs (Leflunomide/Teriflunomide) with dual actions of antiviral and immuno-repression may have clinical potentials not only to influenza but also to COVID-19 circulating worldwide, no matter such viruses mutate or not."
6y9n69g5,Drug targets for corona virus: A systematic review,"The 2019-novel coronavirus (nCoV) is a major source of disaster in the 21(th) century. However, the lack of specific drugs to prevent/treat an attack is a major need at this current point of time. In this regard, we conducted a systematic review to identify major druggable targets in coronavirus (CoV). We searched PubMed and RCSB database with keywords HCoV, NCoV, corona virus, SERS-CoV, MERS-CoV, 2019-nCoV, crystal structure, X-ray crystallography structure, NMR structure, target, and drug target till Feb 3, 2020. The search identified seven major targets (spike protein, envelop protein, membrane protein, protease, nucleocapsid protein, hemagglutinin esterase, and helicase) for which drug design can be considered. There are other 16 nonstructural proteins (NSPs), which can also be considered from the drug design perspective. The major structural proteins and NSPs may serve an important role from drug design perspectives. However, the occurrence of frequent recombination events is a major deterrent factor toward the development of CoV-specific vaccines/drugs."
ju35nyir,Broad Spectrum Antiviral Agent Niclosamide and Its Therapeutic Potential,"[Image: see text] The recent outbreak of coronavirus disease 2019 (COVID-19) highlights an urgent need for therapeutics. Through a series of drug repurposing screening campaigns, niclosamide, an FDA-approved anthelminthic drug, was found to be effective against various viral infections with nanomolar to micromolar potency such as SARS-CoV, MERS-CoV, ZIKV, HCV, and human adenovirus, indicating its potential as an antiviral agent. In this brief review, we summarize the broad antiviral activity of niclosamide and highlight its potential clinical use in the treatment of COVID-19."
nr6ef5v1,Early antiviral therapy of abidor combined with lopinavir/ritonavir and re-combinant interferonα-2b in patients with novel coronavirus pneumonia in Zhejiang: A multicenter and prospective study,"Objective Comparing the benefit of Abidor, lopinavir/ritonavir and recombinant interferon &alpha;-2b triple combination antiviral therapy and lopinavir/ritonavir and interferon dual combination antiviral therapy to hospitalized novel coronavirus pneumonia 2019 in Zhejiang province. Methods A multi-center prospective study was carried out to compare the effect of triple combination antiviral therapy with dual combination antiviral therapy in 15 medical institutions of Zhejiang Province. All patients were treated with recombinant interferon &alpha;-2b (5 million U, 2 times/d) aerosol inhalation. 196 patients were treated with abidol (200 mg, 3 times/d) + lopinavir / ritonavir (2 tablets, 1 time/12 h) as the triple combination antiviral treatment group. 41 patients were treated with lopinavir / ritonavir (2 tablets, 1 time/12 h) as the dual combination antiviral treatment group. The patients who received triple combination antiviral therapy were divided into three groups: within 48 hours, 3-5 days and &gt; 5 days after the symptom onset. To explore the therapeutic effects of triple combination antiviral drugs and dual combination antiviral drugs, as well as triple combination antiviral drugs with different antiviral initiate time. SPSS17.0 software was used to analyze the data. Results The time of virus nucleic acid turning negative was (12.2 &plusmn; 4.7) days in the triple combination antiviral drug group, which was shorter than that in the dual combination antiviral drug group [(15.0 &plusmn; 5.0) days] ( t = 6.159, P &lt; 0.01 ). The length of hospital stay [12 (9, 17) d] in the triple combination antiviral drug group was also shorter than that in the dual combination antiviral drug group [15 (10, 18) d] (H = 2.073, P &lt; 0.05). Comparing the antiviral treatment which was started within 48 hours, 3-5 days and &gt; 5 days after the symptom onset of triple combination antiviral drug group, the time from the symptom onset to the negative of viral shedding was 13 (10,16.8), 17 (13,22) and 21 (18-24) days respectively (Z = 32.983, P &lt; 0.01), and the time from antiviral therapy to the negative of viral shedding was (11.8&plusmn;3.9) , (13.5&plusmn;5.1) and (11.2&plusmn;4.3) d. The differences among the three groups were statistically significant (Z=32.983 and 6.722, P &lt;0.01 or&lt;0.05). Conclusions The triple combination antiviral therapy of Abidor, Lopinavir/Litonavir and recombinant interferon &alpha;-2b showed shorter viral shedding time and hospitalization time compared with the dual combination antiviral therapy. The earlier the time to initiate triple antiviral treatment, the shorter the time of virus shedding."
