,coravacine
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,1
219,0
220,0
221,1
222,1
223,0
224,1
225,1
226,0
227,1
228,1
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,1
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,1
511,1
512,1
513,0
514,0
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,1
610,1
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,1
633,0
634,0
635,1
636,0
637,1
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,0
674,0
675,0
676,1
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,1
697,1
698,1
699,0
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,0
713,0
714,1
715,1
716,0
717,1
718,1
719,1
720,1
721,0
722,0
723,1
724,1
725,1
726,0
727,1
728,0
729,1
730,1
731,1
732,0
733,0
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,0
743,0
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,0
766,0
767,1
768,1
769,0
770,0
771,1
772,1
773,0
774,1
775,0
776,0
777,1
778,0
779,1
780,1
781,0
782,0
783,1
784,1
785,0
786,0
787,1
788,0
789,0
790,0
791,1
792,0
793,1
794,1
795,0
796,1
797,0
798,1
799,0
800,0
801,1
802,1
803,1
804,1
805,1
806,1
807,0
808,0
809,1
810,1
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,1
826,1
827,1
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,0
836,0
837,1
838,1
839,0
840,0
841,1
842,0
843,0
844,1
845,0
846,1
847,0
848,1
849,0
850,1
851,0
852,0
853,1
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,0
871,0
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,0
882,1
883,0
884,1
885,1
886,1
887,1
888,1
889,1
890,0
891,1
892,0
893,1
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,0
906,1
907,1
908,0
909,0
910,0
911,0
912,0
913,1
914,0
915,1
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,0
927,0
928,1
929,0
930,0
931,1
932,1
933,0
934,1
935,1
936,1
937,1
938,0
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,0
953,1
954,0
955,1
956,1
957,0
958,1
959,0
960,0
961,1
962,1
963,0
964,1
965,0
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,0
974,1
975,1
976,1
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,0
987,1
988,0
989,0
990,1
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,1
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,1
1010,1
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,0
1049,0
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,1
1057,1
1058,0
1059,1
1060,0
1061,1
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,1
1074,0
1075,1
1076,1
1077,1
1078,1
1079,0
1080,0
1081,1
1082,0
1083,1
1084,0
1085,1
1086,1
1087,0
1088,0
1089,1
1090,1
1091,0
1092,0
1093,0
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,1
1106,1
1107,0
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,1
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,0
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,1
1139,1
1140,0
1141,1
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,1
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,1
1171,1
1172,0
1173,1
1174,1
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,0
1194,1
1195,0
1196,0
1197,1
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,1
1213,0
1214,1
1215,0
1216,1
1217,0
1218,0
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,0
1226,1
1227,0
1228,1
1229,0
