,sent
0,"MHV-induced macropinocytosis results in vesicle internalization, as well as extended filopodia capable of fusing with distant cells."
1,"Taken together, these results reveal a new region of the S protein that is crucial for SARS-CoV entry."
2,"This paper discusses several new functional hypotheses on the roles played by the constituent gene products of SARS, and will serve as an example of how such assignments can be developed or extended on other systems of interest."
3,"After immunization with two peptides, the peptides-specific antibodies were isolated from the immunized rabbits."
4,"METHODS: The design of both the multi-epitope vaccines (MEVs) are composed of cytotoxic T lymphocyte (CTL) and helper T lymphocyte (HTL) epitopes, screened form thirteen different proteins of MERS-CoV."
5,Complete genome sequencing of four strains of bat-CoV HKU2 revealed the smallest coronavirus genome (27164 nucleotides) and a unique spike protein evolutionarily distinct from the rest of the genome.
6,"Severe acute respiratory syndrome (SARS) has emerged as a highly contagious, sometimes fatal disease."
7,"We further demonstrated that 2C5, but not 1A5, was able to block binding of the RBD to angiotensin-converting enzyme 2 (ACE2), the functional receptor on targeted cells."
8,The ramifications of this sequence divergence to the recognition of ISG15 by coronavirus PLPs at a structural and biochemical level are poorly understood.
9,"The ability for human-to-human transmission is higher for HCoV-SARS than for HCoV-MERS (8 generations vs. 4, respectively)."
10,The X-ray structure of MERS PLpro-∆Ubl2 was determined to 1.9 Å and compared to PLpro containing the N-terminal Ubl2 domain.
11,"The best near-equipotent inhibitors, 11u (P2 = cyclopentylmethyl) and 11r (P2 = cyclohexylmethyl), display low-micromolar EC50 values against enteroviruses, alphacoronaviruses, and betacoronaviruses in cell cultures."
12,Our study provides the first direct evidence supporting lysosomal proteases as a determinant of the species and tissue tropisms of coronaviruses.
13,Severe acute respiratory syndrome (SARS) is a new human disease caused by an animal coronavirus that adapted to efficient human-to-human transmission.
14,"As reported in this study, using high throughput screening against ∼6800 small molecules, we have identified several novel inhibitors of SARS-CoV 3CLpro with IC50 of low μM."
15,"Most MERS-CoV cases (>85%) reported thus far have a history of residence in, or travel to the Middle East."
16,"Recent studies also shed light upon the zoonotic origin of emerging human pathogens including SARS-CoV and MERS-CoV, providing insight for future surveillance and intervention."
17,Dromedary camels are natural host of the Middle East respiratory syndrome coronavirus (MERS-CoV).
18,"The epitope D mutated easily, but the other epitopes were very conservative and the epitope C was the most conservative."
19,"Selectivity and cytotoxicity studies established a more than 100-fold preference for the coronaviral enzyme over homologous human deubiquitinating enzymes (DUBs), and no significant cytotoxicity in Vero E6 and HEK293 cell lines is observed."
20,• The spike protein of SARS-CoV-2 acquired a RGD motif known to bind integrins.
21,Autopsies of patients that died from SARS also showed fibrosis to varying extents.
22, The spike (S) protein of severe acute respiratory syndrome coronavirus (SARS-CoV) is considered as a major antigen for vaccine design.
23,The immunological and structural information presented herein may provide a more detailed understanding of the viral fusion mechanism as well as the development of effective therapy against SARS-CoV infection.
24,The recently identified Middle East Respiratory Syndrome Coronavirus (MERS-CoV) causes severe and fatal acute respiratory illness in humans.
25,"Analogous to picornavirus 3C protease (3Cpro), 3C-like protease (3CLpro) is critical for initiation of the MERS-CoV replication cycle and is thus regarded as a validated drug target."
26,"In this article, we will review the progress of structural proteomics initiatives targeting the SARS coronavirus (SARS-CoV), the etiological agent of the 2003 worldwide epidemic that culminated in approximately 8,000 cases and 800 deaths."
27,"We found that the susceptibility or resistance of these bat cell lines directly correlates with the presence or absence of cell surface-expressed CD26/DPP4, the functional human receptor for MERS-CoV."
28,"This study provides impetus for further development of a safe, highly effective, and broad-spectrum RBD-based subunit vaccine to prevent MERS-CoV infection."
29,"A defined receptor-binding domain (RBD) in the SARS-CoV spike protein specifically recognizes its host receptor, angiotensin-converting enzyme 2 (ACE2)."
30,Do the vaccines generated to the SARS-CoV or MERS-CoV or their proteins offer protection against 2019-nCoV?
31,The importance of RAS in acute respiratory distress syndrome (ARDS) has recently re-emerged owing to the identification of ACE2 as a receptor for the SARS-coronavirus.
32,"Three compounds, i.e., C(28)H(34)O(4)N(7)Cl, C(21)H(36)O(5)N(6), and C(21)H(36)O(5)N(6), were found that may be promising candidates for further investigation."
33,"Different types of SARS-CoV vaccines, including nonreplicative and vectored vaccines, have been developed."
34,"Eight hundred and thirty-seven cases of MERS-CoV infection have been confirmed to date, including 291 deaths."
35,"Supported by robust time-ordered sequence variation, structural biology, well-characterized patient pools, and biological data, the emergence of SARS-CoV represents one of the best-studied natural models of viral disease emergence from zoonotic sources."
36,"We examined the role of PTX3 in Coronavirus murine hepatitis virus strain 1 (MHV-1)-induced acute lung injury, a previously reported animal model for SARS."
37,Middle East Respiratory Syndrome coronavirus (MERS-CoV) has repeatedly caused outbreaks in the Arabian Peninsula.
38,: Human infection with Middle East respiratory syndrome coronavirus (MERS-CoV) poses an ongoing threat to public health worldwide.
39,"Over 100,000 cases of COVID-19 patients infected with the novel coronavirus SARS-COV-2 have been reported worldwide in approximately 2 months, resulting in over 3000 deaths."
40,These cell lines are valuable tools to perform in vitro studies in a mouse cell system that reflects the species used for in vivo studies of SARS-CoV-MA15 pathogenesis.
41,"Currently, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, formerly known as 2019-nCoV, the causative pathogen of Coronavirus Disease 2019 (COVID-19)) has rapidly spread across China and around the world, causing an outbreak of acute infectious pneumonia."
42,Our results indicate that heat inactivation of serum at 56 ℃ for 30 minutes interferes with the immunoanalysis of antibodies to SARS-CoV-2.
43, A surface plasmon resonance (SPR)-based biosensor was developed for simple diagnosis of severe acute respiratory syndrome (SARS) using a protein created by genetically fusing gold binding polypeptides (GBPs) to a SARS coronaviral surface antigen (SCVme).
44,"Herein, we report a structural model of a SARS-CoV E construct in LMPG micelles with, for the first time, unequivocal intermolecular NOEs."
45,Background: The widespread threat of severe acute respiratory syndrome (SARS) to human life has spawned challenges to develop fast and accurate analytical methods for its early diagnosis and to create a safe antiviral vaccine for preventive use.
46,"In addition, we review the evolution, epidemiology, and pathogenesis of epidemic and zoonotic SARS-CoV with focus on the development of broadly reactive therapeutics and vaccines that protect aged populations from the zoonotic pool."
47,"Taken together, our results suggest that, in addition to ACE2, HSPGs are essential cell-surface molecules involved in SARS-CoV cell entry."
48,"Here, we report a family of potential 2019-nCoV drugs generated by a machine intelligence-based generative network complex (GNC)."
49,"In addition to the low detection limit, the biosensor showed a dynamic range of detection from 1µL−1 to 105 µL−1 target molecules (20 to 2 million targets), making it suitable for sample analysis in a typical clinical application environment."
50,"The structure showed that 4C2 recognizes an epitope that partially overlaps the receptor-binding footprint in MERS-RBD, thereby interfering with the virus/receptor interactions by both steric hindrance and interface-residue competition."
51,"Conclusion The kit is a valuable tool for assisting in the rapid diagnosis, patient management and epidemiology of suspected MERS-CoV cases."
52,"Compared to human (hu) ACE2, thirty-eight consensus NS changes were found in rh-ACE2."
53,"Several genes were highly up-regulated in patients with SARS, such as, the genes coding for Lactoferrin, S100A9 and Lipocalin 2."
54,"In support of our in vitro findings, a large case-control genetic-association study for SARS coronavirus infection confirmed that the -123A minor-allele carriers were significantly associated with lower risk of SARS coronavirus infection, whereas the -88T minorallele carriers were insignificant after adjustment for confounding effects."
55," Infection of conventional mice with a mouse adapted (MA15) severe acute respiratory syndrome (SARS) coronavirus (CoV) reproduces many aspects of human SARS such as pathological changes in lung, viremia, neutrophilia, and lethality."
56,"The recently discovered Middle East respiratory syndrome coronavirus (MERS-CoV) continues to infect humans, with high mortality."
57,"The spike region of 16BO133 showed 84.7% and 75.2% amino acid identity with Rf1 (SARS-like bat CoV) and Tor2 (human SARS CoV), respectively."
58,"Middle East respiratory syndrome coronavirus (MERS-CoV) infection is associated with a high case-fatality rate, and the potential pandemic spread of the virus is a public health concern."
59,"In mice susceptible to measles virus, recombinant MV expressing the anchored full-length S induced the highest titers of neutralizing antibodies and fully protected immunized animals from intranasal infectious challenge with SARS-CoV."
60,Severe acute respiratory syndrome (SARS) was the first natural disaster that challenged the Chinese people at the beginning of the twenty-first century.
