,coravacine
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,1
155,0
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,0
395,0
396,0
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,1
446,1
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,1
489,0
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,1
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,0
521,1
522,1
523,0
524,1
525,0
526,0
527,1
528,0
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,0
587,1
588,0
589,1
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,1
601,1
602,1
603,1
604,1
605,1
606,0
607,0
608,1
609,1
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,1
619,1
620,1
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,1
636,0
637,0
638,1
639,0
640,1
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,1
652,1
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,1
661,1
662,0
663,1
664,0
665,1
666,0
667,0
668,1
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,0
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,0
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,0
716,1
717,1
718,0
719,1
720,0
721,1
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,0
730,1
731,1
732,0
733,1
734,0
735,1
736,0
737,0
738,1
739,1
740,0
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,1
754,0
755,1
756,0
757,0
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,1
766,1
767,1
768,0
769,0
770,0
771,0
772,0
773,1
774,0
775,1
776,0
777,0
778,1
779,1
780,1
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,0
797,1
798,1
799,0
800,1
801,0
802,1
803,0
804,1
805,0
806,0
807,1
808,1
809,0
810,1
811,0
812,0
813,0
814,1
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,0
831,1
832,1
833,0
834,0
835,0
836,1
837,0
838,1
839,0
840,0
841,0
842,1
843,0
844,1
845,0
846,0
847,1
848,0
849,0
850,1
851,0
852,0
853,1
854,0
855,1
856,1
857,0
858,0
859,1
860,1
861,1
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,0
871,0
