,sent
0,Middle East respiratory syndrome coronavirus (MERS-CoV) was detected in humans in 2012.
1,"No amplification was achieved for uninfected cells, or cells infected with Newcastle disease virus (NDV), canine parvovirus (CPV), canine coronavirus (CCV), rabies virus (RV), or canine adenovirus (CAV)."
2,The results show that prime-immunization with SARS-CoV S DNA vaccine can induce both CD4+ and CD8+ T cell responses.
3,This work aims to share strategies and candidate antigens to develop safe and effective vaccines against SARS-CoV-2.
4,"Some of the milestones are the availability of viral genome sequence, identification of the viral receptor, development of an infectious cDNA clone, and the identification of viral antigens that elicit neutralizing antibodies."
5,Our previous studies have shown that severe acute respiratory syndrome coronavirus (SARS-CoV) virus-like particles (VLPs) can be assembled using a recombinant baculovirus (rBV) expression system and such VLPs induce specific humoral and cellular immune responses in mice after subcutaneous injection.
6,First clinical trial of a MERS coronavirus DNA vaccine
7,Information about the open-access article 'Wuhan novel coronavirus 2019nCoV' in DOAJ.
8,"rSARS-CoV-ΔE-immunized hamsters remained active following wild-type virus challenge, while mock-immunized hamsters displayed decreased activity."
9,Our study provides valuable information for the design of vaccine for SARS study.
10,"Here, we show that coronaviruses with completely rewired transcription regulatory networks (TRNs) are effective vaccines against SARS-CoV."
11,Little is known about the neutralizing epitopes in turkey coronavirus (TCoV).
12,: Immunization with the spike protein (S) of severe acute respiratory syndrome (SARS)-coronavirus (CoV) in mice is known to produce neutralizing antibodies and to prevent the infection caused by SARS-CoV.
13,"Coronaviruses (CoVs) are enveloped, positive-strand RNA viruses with characteristic spike glycoproteins that project outward like the rays of the sun (corona – Latin for ‘crown’), when visualized by electron microscopy."
14,"Middle East respiratory syndrome coronavirus (MERS-CoV) causes an acute and severe lower respiratory illness as well as vomiting, diarrhea, and renal failure."
15,"The porcine epidemic diarrhea virus (PEDV) belongs to the coronavirus family, which causes acute diarrhea in pigs with higher mortality in piglets less than 2 weeks old."
16,SARS-CoV-2-specific NAbs were detected in patients from day 10-15 after the onset of the disease and remained thereafter.
17,"We also observed dissociated S1 subunit trimers wherein the putative receptor-binding domains exist in a conformation differing from that observed in the intact spike proteins, suggesting that the PEDV receptor-binding domain undergoes conformational rearrangements akin to those that have been described in the related betacoronaviruses."
18,"The safety of the live SARS-CoV vaccines is being increased by the insertion of complementary modifications in genes nsp1, nsp2, and 3a, by gene scrambling to prevent the rescue of a virulent phenotype by recombination or remodeling of vaccine genomes based on codon deoptimization using synthetic biology."
19,"Herein, the complete genome sequence of a proventiculitis-associated infectious bronchitis coronavirus (ZJ971) was sequenced and analyzed."
20,"As diagnostic tests such as reverse-transcription polymerase chain reaction become more widely used, the relative importance of additional viruses (such as parainfluenza, rhinoviruses, coronaviruses, and human metapneumovirus) will likely increase."
21,Mucosal immunisation and immunoprophylaxis as potential strategies for prevention of SARS
22,Genome organization and structural aspects of the SARS-related virus
23,"In the present study, we analyzed the spectrum of immune responses of mice to three different forms of the SARS coronavirus nucleocapsid (N): (1) exogenous recombinant protein (N-GST) with Freund's adjuvant; (2) DNA encoding unmodified N as an endogenous cytoplasmic protein (pN); and (3) DNA encoding N as a LAMP-1 chimera targeted to the lysosomal MHC II compartment (p-LAMP-N)."
24,"However, the precursor of the SARS-CoV remains in its natural bat reservoir, and reemergence of a human-adapted SARS-like coronavirus remains a plausible public health concern."
25,We have identified eight recombinant human single-chain variable region fragments (scFvs) against the S1 domain of spike (S) protein of the SARS-CoV from two nonimmune human antibody libraries.
26,"Finally, using the mutant as a live-attenuated vaccine showed significant promise for possible therapeutic development against SARS-CoV."
27,Analysis of the antibody specificity revealed that the mouse antisera contained a mixture of antibodies specifically against the structure proteins of SARS-CoV.
28,Resurrection of an “Extinct” SARS-CoV Isolate GD03 from LATE 2003
29,"SARS-CoV-2 S gene encodes 22 N-linked glycan sequons per protomer, which likely play a role in immune evasion and occluding immunogenic protein epitopes."
30, An inactivated vaccine for severe acute respiratory syndrome (SARS)-associated coronavirus (SARS-CoV) was evaluated in rhesus monkeys.
31,The use of inactivated SARS virus with MF59 enhanced the CD4 and antibody response even after gene-based vaccination.
32,Numerous studies have shown that neutralizing antibodies against the virus can be found in patients infected with SARS-CoV within days upon the onset of illness and lasting up to several months.
33,"Enteric viruses including lapine rotavirus, rabbit enteric coronavirus and rabbit astrovirus are being acknowledged as contributors to the multifactorial enteritis complex of juvenile rabbits."
34,Development of SARS vaccines and therapeutics is still needed
35,The increased human cases and high mortality rate of MERS-CoV infection make it essential to develop safe and effective vaccines.
36," Avian infectious bronchitis (IB) is an acute, highly infectious and contagious viral disease of chickens caused by avian infectious bronchitis virus (IBV) belonging to the genus Coronavirus and family Coronaviridae."
37,Rapid and accurate diagnosis of SARS and West Nile virus infection remains an important clinical challenge.
38,"In addition, previous reports identified three HLA-A∗0201-restricted CTL epitopes of S protein (S978–986, S1203–1211, and S1167–1175), here we found two novel peptides S787–795 and S1042–1050 as S-specific CTL epitopes."
39,SARS-CoV-specific serum and mucosal immunoglobulins were readily detected in immunized animals.
40,"While human strains of Coronavirus are associated with about 15% of cases of the common cold, the SARS-CoV-2 may present with varying degrees of severity, from flu-like symptoms to death."
41,"Electrodense material scattered in proventricular and gizzard cells was observed, with a structure consistent with that of coronaviruses."
42," Cases of Middle East respiratory syndrome coronavirus (MERS-CoV) continue to occur, making it one of the WHO´s targets for accelerated vaccine development."
