,pid,newpid,category,sent,newscore,answer,keyword
0,ogb83fgc,5041,animaldesign,The immunogenicity of this double-inactivated vaccine was characterised in the mouse model.,0.7614970277736648,immunogenicity,immunopathology
1,st0wcabn,6427,animaldesign,"Accordingly, surface expression of DC-targeted antigens successfully induced cellular, mucosal, and humoral immunity in mice and could be used as a vaccine.",0.7592767031307346,"cellular , mucosal , and humoral immunity",antibody dependent enhancement (ADE)
2,uxnbie09,6707,animaldesign, We evaluated the safety and immunogenicity of a chimeric alphavirus vaccine candidate in mice with selective immunodeficiencies.,0.7592009330001636,selective immunodeficiencies,immunopathology
3,3rr0j5tk,5312,animaldesign,This engineered vaccine demonstrates significantly enhanced efficacy in protecting transgenic mice from lethal MERS-CoV challenge.,0.7585170475882619,transgenic mice,immunopathology
4,hkyiy1gm,12936,animaldesign,We examined the immune responses to SARS-CoV in both young and adult mice.,0.7585085752148437,immune responses,immunopathology
5,dfl69g4f,7944,animaldesign,"Additionally, in vivo experiments demonstrate replication of the chimeric virus in mouse lung with notable pathogenesis.",0.7584988500261861,in vivo experiments demonstrate replication of the chimeric virus in mouse lung with notable pathogenesis,immunopathology
6,w5b5yrbo,5100,animaldesign,"Here, we expand our investigation of the immunogenic properties of these bivalent vaccines in mice.",0.7583572926599822,bivalent vaccines,antibody dependent enhancement (ADE)
7,roj8ksvc,6406,animaldesign,"Therefore, the immunogenicity of a novel MERS-CoV RBD-based subunit vaccine was tested in mice using different adjuvant formulations and delivery routes.",0.7582833927563142,immunogenicity,immunopathology
8,dck3ecdd,12184,animaldesign,"Notably, direct intragastric inoculation of MERS-CoV caused a lethal infection in human DPP4 transgenic mice.",0.7581576290774824,human dpp4 transgenic mice,immunopathology
9,081o2zmd,7353,animaldesign,"In addition, the DNA vaccines induced a high level of IFN-γ in the immunized mice.",0.7581489113198989,ifn-γ,interleukin
10,5bp2bmy4,14222,animaldesign,"Comparing a sublethal and lethal dose of MERS-CoV in mice, analysis of daily blood draws demonstrates a dose dependent modulation of leukocytes.",0.7581305864753171,leukocytes,antibody dependent enhancement (ADE)
11,b45cmsc4,5532,animaldesign,Vaccine efficacy studies were performed in mouse and rat lethal challenge models resulting in high protection rates.,0.7580522681918453,mouse and rat lethal challenge models,immunopathology
12,qk2ureql,7705,animaldesign,"Intranasal delivery of these rAd5 vectors gave protection against a lethal challenge dose of PVM in three different mouse strains, and protection lasted for at least 20 weeks post-immunisation.",0.7580224590681207,three different mouse strains,immunopathology
13,84hphtps,13690,animaldesign,Treatment with these mAbs provided partial but significant protection against disease in a mouse model of Ebola virus infection.,0.7579288130632569,mabs,antibody dependent enhancement (ADE)
14,prftlaxn,14699,animaldesign,"Recently, we evaluated the pathogenicity of two clinical SAFV isolates in mice.",0.7578189013715044,pathogenicity,immunopathology
15,fz7vrnb1,12519,animaldesign,"However, the presence of T lymphocytes or anti-viral antibody can induce disease in infected immunodeficient mice.",0.7577900684260302,the presence of t lymphocytes or anti-viral antibody,antibody dependent enhancement (ADE)
16,hmwkf6is,8931,animaldesign,We also evaluated the immune response to early rAAV6-vaccination in neonatal mice.,0.7577731863692432,neonatal mice,immunopathology
17,1m9y2qiu,8092,animaldesign,"When given a high dose of MERS-CoV, our transgenic mice expressing hCD26/DPP4 viral receptor uniformly succumbed to death within 6 days, making it difficult to evaluate host responses to infection and disease.",0.7577630652789703,transgenic mice,immunopathology
18,kvcbj093,5883,animaldesign,IMPORTANCE Ferrets and mice are commonly used for preclinical evaluation of influenza vaccines.,0.7577563160171348,influenza vaccines,immunopathology
19,uxnbie09,6710,animaldesign,Wild type mice were protected against lethal VEEV challenge.,0.7575898633566548,wild type mice,immunopathology
