,sent
0," Introduction The World Health Organization has declared the coronavirus disease (COVID-19) as a pandemic on 11 March 2020, after the number of confirmed cases outside China increased 13-fold."
1,"As the epicentre of the initial outbreak, China has been updating the National COVID-19 Diagnostic and Treatment Guideline with up-to-date information about the disease."
2,"To facilitate the implementation of integrative Chinese–Western Medicine in COVID-19 management, Traditional Chinese medicine (TCM) has been recommended in recent editions of the national guideline."
3,Methods The national guideline summarised the opinions and frontline experience of medical experts across the country to provide by far the best management for COVID-19.
4,"We extracted the case definition and clinical classifications of COVID-19 in China along with relevant TCM treatments cited in the seventh edition of the guideline, with an intend to disseminate practical information to TCM practitioners and researchers around the world."
5,"Results We presented the most recent case definition, clinical classifications, and relevant TCM treatments of COVID-19 in accordance to recommendations of the Chinese guideline."
6,TCM treatments are stratified into two groups based on patients’ disease status.
7,Four types of Chinese patent medicines are recommended for suspected COVID-19 cases.
8,Several herbal formulae are recommended for confirmed COVID-19 cases according to their clinical classification and TCM pattern diagnoses.
9,Two herbal formulae are also recommended for rehabilitation of recovering cases.
10,"Conclusion To control the waves of COVID-19 outbreak, countries must ensure the adherence of their citizens to local public health measures."
11,Medical professionals should diagnose and treat patients according to up-to-date guidelines.
12,Future evaluation of the outcomes of implementing TCM recommendations will strengthen the evidence base for COVID-19 management for the sake of public health and the internationalisation of TCM.
13,New threat: 2019 novel Coronavirus infection and infection control perspective in Turkey
14,": The coronavirus disease (COVID-19) has been identified as the cause of an outbreak of respiratory illness in Wuhan, Hubei Province, China beginning in December 2019."
15,"As of 31 January 2020, this epidemic had spread to 19 countries with 11 791 confirmed cases, including 213 deaths."
16,The World Health Organization has declared it a Public Health Emergency of International Concern.
17,METHODS: A scoping review was conducted following the methodological framework suggested by Arksey and O’Malley.
18,"In this scoping review, 65 research articles published before 31 January 2020 were analyzed and discussed to better understand the epidemiology, causes, clinical diagnosis, prevention and control of this virus."
19,"The research domains, dates of publication, journal language, authors’ affiliations, and methodological characteristics were included in the analysis."
20,All the findings and statements in this review regarding the outbreak are based on published information as listed in the references.
21,RESULTS: Most of the publications were written using the English language (89.2%).
22,The largest proportion of published articles were related to causes (38.5%) and a majority (67.7%) were published by Chinese scholars.
23,"Research articles initially focused on causes, but over time there was an increase of the articles related to prevention and control."
24,"Studies thus far have shown that the virus’ origination is in connection to a seafood market in Wuhan, but specific animal associations have not been confirmed."
25,"Reported symptoms include fever, cough, fatigue, pneumonia, headache, diarrhea, hemoptysis, and dyspnea."
26,"Preventive measures such as masks, hand hygiene practices, avoidance of public contact, case detection, contact tracing, and quarantines have been discussed as ways to reduce transmission."
27,"To date, no specific antiviral treatment has proven effective; hence, infected people primarily rely on symptomatic treatment and supportive care."
28,CONCLUSIONS: There has been a rapid surge in research in response to the outbreak of COVID-19.
29,"During this early period, published research primarily explored the epidemiology, causes, clinical manifestation and diagnosis, as well as prevention and control of the novel coronavirus."
30,"Although these studies are relevant to control the current public emergency, more high-quality research is needed to provide valid and reliable ways to manage this kind of public health emergency in both the short- and long-term."
31,"Currently, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2, formerly known as 2019-nCoV, the causative pathogen of Coronavirus Disease 2019 (COVID-19)) has rapidly spread across China and around the world, causing an outbreak of acute infectious pneumonia."
32,No specific anti-virus drugs or vaccines are available for the treatment of this sudden and lethal disease.
33,The supportive care and non-specific treatment to ameliorate the symptoms of the patient are the only options currently.
34,"At the top of these conventional therapies, greater than 85% of SARS-CoV-2 infected patients in China are receiving Traditional Chinese Medicine (TCM) treatment."
35,"In this article, relevant published literatures are thoroughly reviewed and current applications of TCM in the treatment of COVID-19 patients are analyzed."
