,animaldesign
0,1
1,1
2,1
3,0
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,1
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,0
196,0
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,0
320,0
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,1
390,1
391,1
392,0
393,0
394,1
395,0
396,0
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,0
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,0
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,0
493,0
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,0
517,1
518,1
519,0
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,1
530,0
531,0
532,1
533,1
534,1
535,0
536,1
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,0
549,1
550,0
551,1
552,1
553,0
554,0
555,1
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,0
603,0
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,0
622,0
623,1
624,0
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,0
648,1
649,1
650,0
651,0
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,0
671,1
672,0
673,0
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,0
704,1
705,0
706,0
707,0
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,0
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,0
764,0
765,0
766,1
767,0
768,0
769,1
770,1
771,0
772,1
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,1
785,1
786,1
787,0
788,0
789,1
790,0
791,1
792,1
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,0
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,1
811,1
