,animaldesign
0,1
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,1
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
