,pid,newpid,category,sent,newscore
180179,cszqykpu,246,antihiv,"Interestingly, lopinavir, ritonavir, and darunavir are all designed to target viral proteinases.",0.808422566581372
180181,qdt90c22,31,antihiv,"Our results showed that several HIV inhibitors such as lopinavir, ritonavir, and saquinavir produce strong interaction with the active site of SARS-CoV-2 main protease.",0.8063790451780185
180173,vbgf50os,192,antihiv,"Ritonavir, lopinavir and darunavir were then docked to the models, respectively, followed by energy minimization of the protease-drug complexes.",0.8058692581701075
180189,vbgf50os,190,antihiv,"Three anti-HIV drugs, ritonavir, lopinavir and darunavir, might have therapeutic effect on coronavirus disease 2019 (COVID-19).",0.8055941395647248
180176,qmg58cgr,128,antihiv,The focused drug repurposing of known approved drugs (such as lopinavir/ritonavir) has been reported failed for curing SARS-CoV-2 infected patients.,0.8037287130773259
180180,r49ox9x9,2744,antihiv,"However, it was found that a mixture of two HIV-1 proteinase inhibitors, lopinavir and ritonavir, exhibited some signs of effectiveness against the SARS virus.",0.8020535770551033
180188,zgdbvfi4,26,antihiv,"Therefore, we suggested that nelfinavir might be a potential inhibitor against 2019-nCov Mpro.",0.7996679313935027
180186,cszqykpu,245,antihiv,"The result showed that atazanavir, an antiretroviral medication used to treat and prevent the human immunodeficiency virus (HIV), is the best chemical compound, showing a inhibitory potency with Kd of 94.94 nM against the 2019-nCoV 3C-like proteinase, followed by efavirenz (199.17 nM), ritonavir (204.05 nM), and dolutegravir (336.91 nM).",0.796745027848879
180178,d4loia11,1454,antihiv,"To allow structure-based design of drugs directed at SARS-CoV main proteinase, we predicted its binding pockets and affinities with existing HIV, psychotic and parasite drugs (lopinavir, ritonavir, niclosamide and promazine), which show signs of inhibiting the replication of SARS-CoV.",0.7962249977812212
180175,ng6h4l3m,2844,antihiv,"Protease inhibitors (darunavir, atazanavir, and ritonavir), viral DNA polymerase inhibitors (acyclovir, valacyclovir, valganciclovir, and tenofovir), and an integrase inhibitor (raltegravir) are included in the list of Top 200 Drugs by sales for the 2010s.",0.7950017247043293
180197,wicc796j,15003,antihiv,The study is based on a combination of lopinavir/ritonavir and interferon-beta- 1b.,0.7949655808918279
180195,arz8r204,16336,antihiv,"Here, the potent inhibition induced by saquinavir and nelfinavir on the replication of both vesicular stomatitis and influenza viruses is described.",0.7931942503677635
180187,77cylm1o,6162,antihiv,Our results suggest that nelfinavir should be examined clinically for the treatment of SARS and has potential as a good lead compound for designing anti-SARS drugs.,0.7931389045351322
180183,otoqejtg,13796,antihiv,The results showed that Galanthus nivalis agglutinin (GNA) and nelfinavir effectively inhibited FCoV replication.,0.7927716269307821
180190,77cylm1o,6161,antihiv,"Experiments with various timings of drug addition revealed that nelfinavir exerted its effect not at the entry step, but at the post-entry step of SARS-CoV infection.",0.7924997673809757
180199,wicc796j,14998,antihiv,The combination of lopinavir/ritonavir and interferon-beta- 1b showed excellent results in common marmosets and currently is in a randomized control trial.,0.7922853775120346
