,pid,newpid,category,sent,newscore
59,3qdjmb2j,8652,ADE,"In addition, both vaccines also induced insert specific interferon gamma (IFN-γ) secreting T cell response.",0.18074751131176436
109,ynef1d1t,8058,ADE,Type I interferon is important in anti-viral responses and in coordinating the innate immune response.,0.18061230933167
318,mbvwh2ky,17361,ADE,"Importantly, attenuation of the dORF3-5 mutant is primarily driven by dysregulated host responses, including disrupted cell processes, augmented interferon (IFN) pathway activation, and robust inflammation.",0.18019054517210314
699,zq58ot3c,18412,ADE,"Furthermore, T-cell proliferative responses and increased production of gamma interferon were also observed upon splenocyte restimulation with recombinant SOD.",0.17992187329988718
356,cwfujgya,29285,ADE,By contrast there may be a lack of type 1 interferon response.,0.17990678968607537
2,wyanwvxa,10176,ADE,"Replication of RVs is restricted in a host species-specific manner, and this barrier is determined predominantly by the host interferon (IFN) signaling and the ability of different RV strains to successfully negate IFN activation and amplification pathways.",0.17988278571317717
79,t0d8wtvp,37282,ADE,Generating feline cells with reduced ability to respond to interferon (IFN) is an essential step facilitating isolation of new candidate vaccine strains.,0.17986315715181167
102,gq9age1b,15677,ADE,These findings suggest that vaccine-induced eosinophil immunopathology in the lungs upon SARS-CoV infection could be avoided by the TLR agonist adjuvants.,0.1798500983294995
165,6mdaq868,11104,ADE,"In this study, we report on the activation of type I interferon (IFN) production by a defective interfering (DI) RNA isolated from the Hu-191 vaccine strain of measles virus.",0.17982485174523438
5,wvot6rfc,17140,ADE,"The vaccine potential of each LAIV was determined through analysis of attenuation, interferon production, immunogenicity, and their ability to protect mice and ferrets.",0.1797873434093056
35,j7fpiqfj,11405,ADE,"Plasmacytoid dendritic cells (pDC) play a central role in the antiviral immune response, both in the innate response and in shaping the adaptive response, mainly because of their ability to produce massive amounts of type I interferon (TI-IFN).",0.17972112203779217
709,08n9d0au,2780,ADE,The vaccine would induce neutralizing antibodies without causing Th2-type immunopathology.,0.17966144687919666
1,jd91k19z,11090,ADE,"There was a significant increase in the amount of Th1-related cytokines (interferon-γ and interleukin [IL] 12), and a significant decrease in the Th2-related cytokine IL-4 in splenocyte cell culture of the vaccinated group compared with the control groups.",0.17959429765572632
590,6rwevq39,27485,ADE,The most noteworthy changes were in tumor necrosis factor-alpha (TNF-α) and interferon gamma (IFN-γ) levels.,0.1795423456564071
334,azf3e2pa,18001,ADE,Inducible (or adaptive) T(regs) frequently express high levels of the interleukin 2 receptor (CD25).,0.1794012298217809
534,wr2sgixs,20615,ADE,"Moreover, exposure of type-I interferon knockout mice to ZIKV results in severe damage to the testes, epididymis and sperm.",0.17935635211263828
111,kxg0ym05,15816,ADE,Cellular immunities were also shown in both cell proliferation and gamma interferon (IFN-γ) enzyme-linked immunospot (ELISpot) assays.,0.1792931293880269
715,j5b6bscg,37101,ADE,"In this study, we demonstrated that the PRRSV nsp2 OTU domain antagonizes the type I interferon induction by interfering with the NF-κB signaling pathway.",0.17927955261876788
45,r6c7kmqj,39197,ADE,"In human lung epithelial A549 cells, 5′pppRNA specifically stimulated multiple parameters of the innate antiviral response, including IRF3, IRF7 and STAT1 activation, and induction of inflammatory and interferon stimulated genes - hallmarks of a fully functional antiviral response.",0.17924141416996528
535,m2fwefuy,11479,ADE,"SMQ, but not alum, generated strong interleukin-6 (IL-6), gamma interferon (IFN-γ), and tumor necrosis alpha (TNF-α) responses.",0.17918462068604307
827,vdsrdxrn,15648,ADE,"Moreover, MVA immunization at low dosage also protected IFNAR(−/−) mice, indicating efficient activation of cellular immunity even in the absence of type I interferon signaling.",0.17917480429717536
96,key29aid,26485,ADE,The mHSP110-E7(11-20) complex induced epitope-specific splenocyte proliferation and E7(11-20)-specific gamma interferon (IFN-γ) secretion.,0.17914458984091847
447,bs3j3nss,7160,ADE,"VRP-N vaccines not only failed to protect from homologous or heterologous challenge, but resulted in enhanced immunopathology with eosinophilic infiltrates within the lungs of SARS-CoV–challenged mice.",0.179103376164779
17,ht7km4jz,17812,ADE,"The plasma level of the transforming growth factor (TGF-β), but not interleukin (IL)-2, IL-4, IL-5, IL-10, IFN-γ, TNF-α, was also found to increase significantly after vaccination.",0.17910238647349797
16,gq9age1b,15678,ADE,"IMPORTANCE Inactivated whole severe acute respiratory syndrome-related coronavirus (SARS-CoV) vaccines induce neutralizing antibodies in mouse models; however, they also cause increased eosinophilic immunopathology in the lungs upon SARS-CoV challenge.",0.17909504252958697
178,xdnu5qyq,24093,ADE,AAV2/8 produced a vibrant CD8(+) T-cell effector response characterized by coexpression of gamma interferon and tumor necrosis factor alpha as well as in vivo cytolytic activity.,0.17909216938754968
31,hb2lieh3,1607,ADE,"Histopathology seen in animals given one of the SARS-CoV vaccines was uniformly a Th2-type immunopathology with prominent eosinophil infiltration, confirmed with special eosinophil stains.",0.1790876178992002
263,itrv27tm,12019,ADE,"However, some animal studies have suggested that inadequate immunization against severe acute respiratory syndrome coronavirus (SARS&#8208;CoV) induces a lung eosinophilic immunopathology upon infection.",0.17905939749372884
21,fb832hlp,6043,ADE,"As will be discussed in this chapter, coronavirus vaccines present many challenges including low and rapidly waning immunity and the fact that coronavirus vaccines, particularly when formulated with Th2-biased alum adjuvants, can exacerbate coronavirus infection-associated eosinophilic lung immunopathology.",0.17894538176936375
204,xq48afa0,30011,ADE,"Patients with H5N1 disease had unusually high serum concentrations of chemokines (eg, interferon induced protein-10 [IP-10] and monokine induced by interferon γ [MIG]).",0.17892517705507768
54,rqhn122a,7384,ADE,"Immunized IFNAR(−/−)-CD46Ge mice developed E protein-specific and neutralizing antibodies, and ZIKV E-specific cellular immune responses were observed by gamma interferon (IFN-γ) enzyme-linked immunospot (ELISpot) and in vitro T cell proliferation assays.",0.1788743543176505
192,fb832hlp,6046,ADE,"This chapter will describe the current state of development of SARS vaccines, the issue of coronavirus-associated eosinophilic lung immunopathology and how adjuvants can be used to reduce the risk of this complication.",0.1786779098634224
786,xvvfguht,23623,ADE,"Lately, suboptimal innate immune responses, expressed as defective interferon production, have gained attention as they might be amenable to intervention.",0.17866143032211246
9,t6ndp2vq,31891,ADE,"The reasons for this obstacle are not well understood, but appear to reflect, at least in part, the inability of the virus to block the interferon response in any but the human host.",0.1784900147815084
401,rhhafruq,40352,ADE,This study shows that formulation of SARS-CoV spike protein or inactivated whole-virus vaccines with novel delta inulin-based polysaccharide adjuvants enhances neutralizing-antibody titers and protection against clinical disease but at the same time also protects against development of lung eosinophilic immunopathology.,0.17846314861837417
52,nb6c8buz,7496,ADE,"We found that single strand RNA (termed RNA adjuvant) derived from cricket paralysis virus intergenic region internal ribosome entry site induced the expression of various adjuvant-function-related genes, such as type 1 and 2 interferon (IFN) and toll-like receptor (TLR), T cell activation, and leukocyte chemotaxis in human peripheral blood mononuclear cells; furthermore, its innate and IFN transcriptome profile patterns were similar to those of a live-attenuated yellow fever vaccine.",0.17837462707308027
919,zu0ubwfq,7839,ADE,"In contrast, development of neutralising antibodies (NAs) is delayed and generation of cell-mediated immune responses, such as PRRSV-specific interferon (IFN)-γ secreting cells, is initially erratic.",0.17837413666686497
18,rhhafruq,40344,ADE,"Such vaccines present major challenges: coronavirus immunity often wanes rapidly, individuals needing to be protected include the elderly, and vaccines may exacerbate rather than prevent coronavirus lung immunopathology.",0.1781513999428025
23,godas2iy,36794,ADE,A bacterial artificial chromosome containing the sequence of ZIKV strain Paraiba/2015 under the control of the cytomegalovirus promoter was complexed with a commercial transfection reagent and administrated using different routes in type-I interferon receptor deficient A129 mice.,0.17801196013614934
873,l3d19xur,33021,ADE,"Many downstream type I interferon activated genes with anti-viral activity (PKR, Mx, ISG15 and OAS among others) were also up-regulated in response to ALVAC.",0.17790925632937543
940,upb97on4,20892,ADE,"In mouse studies, Cap-AuNP-immunized mice displayed a high production of interleukin (IL)-4, IL-10, and interferon-γ, suggesting that Cap-AuNPs can effectively activate CD4(+) and CD8(+) T cells and balance Th1 and Th2 cellular responses.",0.17787716809387544
437,l8gszu1s,8069,ADE,"The vaccine mixture was shown to be well tolerated and increased frequencies of canineTrp-1-specific activated CD8(+) and CD4(+) T cells secreting interferon-(IFN)-γ, tumor necrosis factor (TNF)-α, or interleukin (IL)-2 alone or in combinations in four and five out of five dogs, respectively.",0.17778357730401823
776,m6abyuvx,29019,ADE,"We also demonstrated that the onset of chronic hepatitis in CN2-29((+/−))/MxCre((+/−)) mice was mainly attributable to inflammatory cytokines, (tumor necrosis factor) TNF-α and (interleukin) IL-6.",0.17778036742639597
807,rhhafruq,40347,ADE,"Whereas unadjuvanted or alum-formulated vaccines were associated with significantly increased lung eosinophilic immunopathology on day 6 postchallenge, this was not seen in mice immunized with vaccines formulated with delta inulin adjuvant.",0.17769379814919717
1069,l3d19xur,33023,ADE,"In view of these results we propose that ALVAC induces type I interferon anti-viral innate immunity via a cytosolic pattern-recognition-receptor (PRR) sensing double-stranded DNA, through activation of IRF3 and IRF7.",0.17654651220784573
1189,hkvurb2k,12996,ADE,Further examination indicated that dNSP16 mutant MERS-CoV had a type I interferon (IFN)-based attenuation and was partially restored in the absence of molecules of IFN-induced proteins with tetratricopeptide repeats.,0.1765053062021903
1123,q5wx313k,13017,ADE,"Our major data indicated that immunization with “LbSapSal” is able to induce biomarkers characterized by enhanced amounts of type I (tumor necrosis factor [TNF]-α, interleukin [IL]-12, interferon [IFN]-γ) cytokines and reduction in type II cytokines (IL-4 and TGF-β), even after experimental challenge.",0.1763898022638632
25,efdotm4f,35280,ADE,"RESULTS: Gene expression in MEF among children who were sOP was significantly different in upregulation of interleukin 8, secretory leukocyte peptidase inhibitor, and chemokine (C-C motif) ligand 3, and in downregulation of interferon regulatory factor 7 and its related signaling molecules interferon alpha, Toll-like receptor adaptor molecule 2, chemokine (C-C motif) ligand 5, and mitogen-activated protein kinase 8 compared with children who were NOP.",0.1762055752683111
