,sent
0,Promising results have been reported for recombinant angiotensin-converting enzyme 2 (ACE2) protein administration in experimental liver and lung fibrosis.
1,"The inhibition of ERS by tauroursodeoxycholic acid (TUDCA, an ERS inhibitor) significantly reduced the IL‐17A levels in BALF (P = 0.0140) and TH17 cells in the peripheral blood (P = 0.0084) of mice with BLM+HSV1, suggesting that suppression of ERS may reduce TH17 response in mice with AE‐IPF."
2,CONCLUSION: S. pneumoniae-induced IL-8 expression by human epithelial BEAS-2B cells depended on activation of JNK and recruitment of phosphorylated c-Jun to the il8 promoter.
3,"This activation may be involved in the interaction between TTSPs and the PEDV S protein, as the S protein extensively co-localized with TMPRSS2 and MSPL and could be cleaved by co-expression with TMPRSS2 or MSPL."
4,"High-dose corticosteroid therapy might be useful for critically ill patients, but previous use of ribavirin (a broad-spectrum antiviral agent) was probably not efficacious."
5,"We found that SARS S residue R667, a previously identified trypsin cleavage site, is also required for S protein cleavage by TMPRSS2."
6,Accumulating evidence in recent years has demonstrated a physiological and pathological role of ACE2 in the cardiovascular systems.
7,"In this axis, angiotensin (Ang)-(1–7) is finally produced from Ang I or Ang II by the catalytic activity of angiotensin-converting enzyme 2 (ACE2)."
8,"In the present study, we explored the association among Arg(972) IRS-1, acute MI, and serum levels of ACE2."
9,"We also uncovered a number of plasma/serum proteins potentially linked to altered ACE2 expression, and the top enriched pathways included cytokine-cytokine-receptor interaction, VEGF signaling, JAK-STAT signaling etc."
10,"Angiotensin-converting enzyme 2 (ACE2) is expressed in the kidney and may be a renoprotective enzyme, since it converts angiotensin (Ang) II to Ang-(1-7)."
11,"CONCLUSIONS: Soluble ACE2 activity appears to be biomarker in heart failure, and in hypertension, where heart failure may be imminent."
12,"These results indicate that constitutive shedding of ACE2 from proximal tubular cells is mediated by PKC-δ, which is also linked to high glucose-induced shedding."
13,Neutralisation of the IL-6 or IL-10 cytokine receptors dampened STAT3 phosphorylation and BCG-mediated up-regulation of PD-L1 on APCs.
