,sent
0,"Unlike lipid-free peptides, the lipopeptides suppressed CoV S protein-directed virus entry taking place within endosomes."
1,ACE2 also acts as the receptor in the lung for the coronavirus causing the infamous severe acute respiratory syndrome (SARS) in 2003.
2,"Here we investigated the actions of diminazene, a recently developed ACE2 activator compound, in a model of vulnerable atherosclerotic plaque."
3,"Accordingly, angiotensin-converting enzyme 2 (ACE2), which breaks-down Ang II and forms Ang-(1–7), has been suggested as a target against atherosclerosis."
4,"The expression of viral mRNA and cytokine (IL-1β, IL-6, IL-8 and TNF-α) mRNA transcripts was determined by real-time quantitative RT-PCR(qRT-PCR)."
5,"The components of RAS were all up-regulated in CCL4 group, and the increased extent of ACE-Ang II-AT1 axis was higher than the ACE2-Ang(1–7)-Mas axis."
6,"ACE2 is considered an endogenous regulator of the vasoconstrictive, proliferative, fibrotic, and proinflammatory effects of the ACE–Ang II–angiotensin II type 1 receptor (AT(1)R) axis."
7,The above findings were substantiated by our human data where reduced iCa(2+) flux in chronic Hepatitis infections displayed CD8(+) T cells with low IFN-γ and increased IL-10 production.
8,"Finally, we found that the JNK-activated AP-1 subunit c-Jun was critical for the up-regulation of IL-8 expression by PRRSV."
9,"TNFα, TNFR1 and TNFR2 were each significantly associated with at least two of the following: age, estimated glomerular filtration rate, hypertension, diabetes, smoking, peripheral vascular disease or history of atrial fibrillation."
10,"An NF-κB inhibitor, TPCK (N-Tosyl-L-Phenylalanine Chloromethyl Ketone) could suppress IL-8 production and secretion in response to S protein in PBMC and THP-1 cells and in HCoV-229E virus-infected PBMC."
11,"We demonstrate that the phosphatase-1 cofactor, growth arrest and DNA damage-inducible protein 34 (GADD34/Ppp1r15a), an important component of the unfolded protein response (UPR), is absolutely required for type I-IFN and IL-6 production by mouse embryonic fibroblasts (MEFs) in response to dsRNA."
12,"Incubation of cells with the PKC-α and -β1-specific inhibitor Go6976, the PKC β1 and β2-specific inhibitor ruboxistaurin, inhibitors of matrix metalloproteinases-2,-8, and -9, or an inhibitor of ADAM10 (GI250423X) had no effect on basal ACE2 shedding."
13,"Taken together, our study suggests a plausible mechanism by which SARS-CoV cleaves its S protein to facilitate viral infection."
14,"While animal experiments and retrospective studies have demonstrated the limited efficacy of ribavirin, it was also speculated that ribavirin would be effective in patients with a viral load <1 × 10(6) copies/mL."
15,"In a randomized controlled trial of indinavir, saquinavir and lopinavir in combination with low-dose ritonavir in 656 patients, median total cholesterol increased by 0.5 mmol/l in the patients with the highest minimum drug plasma concentrations."
16,"Plasma levels of TNFα and TNFR1 were significantly elevated in HFPEF relative to controls, while levels of TNFR2 were significantly higher in HFPEF than both controls and HFREF."
17,"These findings demonstrate that ACE2 plays a critical role in preventing RSV-induced lung injury, and suggest that ACE2 is a promising potential therapeutic target in the management of RSV-induced lung disease."
18,"By not inhibiting viral replication in the lungs of infected mice, ribavirin treatment may have provided a continual source of stimulation for the inflammatory response thought to contribute to the pathogenesis of the infection."
19,Oseltamivir is an oral agent approved for prophylaxis and the treatment of influenza infections.
20,Hexokinase 2 (HK2) and interleukin 6 (IL-6) were identified as the targets of miR-22.
21," The exact residues within severe acute respiratory syndrome coronavirus (SARS-CoV) S1 protein and its receptor, human ACE2, involved in their interaction still remain largely undetermined."
22,Identification of exact amino acid residues that are crucial for the interaction of S1 with ACE2 could provide working hypotheses for experimental studies and might be helpful for the development of antiviral inhibitor.
23,"(4) The prealbumin, CD3 T cells, CD4 T cells and CD8 T cells in the new coronavirus pneumonia group were significantly lower than those in the normal control group, and the hypersensitive c-reactive protein was higher than that in the normal control group."
24,"In summary, we suggest that ACE2 may play dual roles in mediating the susceptibility and immunity of 2019-nCoV infection."
25,"However, this second axis through ACE2 and Ang-(1–7) in RAS can be an important target for the therapy of cardiovascular and metabolic disorders."
26,"We report that besides syncitiotrophoblasts and cytotrophoblasts, BCRP is also expressed in EVTs."
27,Mouse proximal tubular cells were cultured and ACE2 shedding into the media was assessed by enzyme activity assay and immunoblot analysis.
28,"Keywords: Angiotensin, angiotensin-converting enzyme 2 (ACE2), apelin, bradykinin, carboxypeptidase, cardiovascular, collectrin, renin-angiotensin system, SARS virus, shedding, transmembrane, vasoactive, zinc-binding motif."
29,"In summary, ACE2 was distinctively expressed in atherosclerotic plaques, which depends on the local pattern of shear stress."
30,Expression of viral antigens was much lower in infected cells treated with nelfinavir than in untreated infected cells.
31,To examine the therapeutic effect of Src inhibitor on the VEGF mediating vascular hyperpermeability and bone destruction within steroid-associated osteonecrotic lesions in rabbits.
32,"GL, as well as dexamethasone (DEX) inhibited both tumor necrosis factor (TNF)-α –and IL-1β –induced IL-8 production, mRNA expression, and promoter activity in A549 cells."
33,"To this end, ACE2 may counterbalance the effects of ACE within the renin–angiotensin system (RAS)."
34,"Based on the X-ray structures of SARS-CoV spike receptor-binding domain (RBD) in complex with its functional receptor (angiotensin-converting enzyme 2, ACE2), we perform computational simulations of interactions between three representative RBD mutants and four host species-specific receptors."
35,"In the present study, we explored the association among Arg(972) IRS-1, acute MI, and serum levels of ACE2."
36,"Conclusion：With following parameters such as age >67.5 years, IL2R >793.5U/mL, CRP >30.7ng/mL, ferroprotein >2252μg/L, WBC>9.5*10^9/L or NC >7.305*10^9/L, the progress of COVID-19 to critical stage should be closely observed and possibly prevented."
37,"These findings suggest that PGG and PA may block or reduce the entry of the viruses into the cells to protect the cells from the virus destruction and abate virus replication, which may play an important role in interfering with expressions of rhinovirus receptors (intercellular adhesion molecule-1 and low-density lipoprotein receptor), inflammatory cytokines (interleukin (IL)-6, IL-8, tumor necrosis factor, interferon beta, and IL-1β), and Toll-like receptor, which resulted in diminishing symptoms induced by HRV."
38,"A key role for ACE2 appears to be emerging in the conversion of angiotensin II to angiotensin (1–7), allowing it to act as a counter-balance to the actions of ACE."
39,"Transplant patients with diabetes mellitus had significantly increased urinary ACE2 activity and protein levels compared to non-diabetics (p<0.001), while ACE2 mRNA levels did not differ."
40,"Taken together, these results reveal a new region of the S protein that is crucial for SARS-CoV entry."
41,"CXCL10KO mice and mice treated with anti-CXCL10 IgG showed attenuated hypothermia, lower concentrations of interleukin-6 (IL-6) and macrophage inhibitory protein-2 (MIP-2) in plasma and lessened natural killer (NK) cell activation compared to control mice."
42,"In addition, increased understanding of the complexity of the RAS has led to novel approaches aimed at upregulating the ACE2/angiotensin-(1-7)/Mas axis to counter-regulate the harmful effects of the ACE/angiotensin II/angiotensin III/AT(1)R axis."
43,Azithromycin added to hydroxychloroquine was significantly more efficient for virus elimination.
44,This article reviews different metabolic pathways of ACE and ACE2 (AngI-AngII-AT1 receptors and AngI-Ang (1–7)-Mas receptors) in the regulation of cardiovascular function and their potential in new drug development in the therapy of CVDs.
45,A779 or MLN-4760 pretreatment abolished the protective effects of ACE2.
46,"On the other hand, ribavirin administration apparently reduced neither the rate of intratracheal intubation nor that of mortality."
47,The angiotensin-converting enzyme 2 (ACE2)/angiotensin (1-7) [Ang (1-7)]/Mas axis is a negative regulator of the classical renin-angiotensin system.
48,Inhibition of JNK by small molecule inhibitor SP600125 reduced pneumococci-induced IL-8 mRNA expression and release of IL-8 and IL-6.
49,These data indicate that two glycosylated ACE2 fragments are constitutively shed from mouse proximal tubular cells.
50,"It is classified as a class I fusion protein, and is responsible for binding to the receptor on the host cell as well as mediating the fusion of host and viral membranes—A process driven by major conformational changes of the S protein."
51,Here we identify the SARS-CoV spike (S)-protein-binding site on ACE2.
52,Hydroxychloroquine (HCQ) is an antimalarial drug also used in treating autoimmune diseases.
53,"In conclusion, the results suggest that the chicken scFv phage display system can be a potential model for mass production of high-affinity antibodies against the SARS-CoV spike protein."
54,"METHODS AND RESULTS: This study investigated inflammation mediated by the tumor necrosis factor-alpha (TNFα) axis in community-based cohorts of HFPEF patients (n = 100), HFREF patients (n = 100) and healthy controls (n = 50)."
55,"C-reactive protein (CRP), anti-glycan antibodies, anti-Saccharomyces cerevisiae mannan antibodies IgG, anti-mannobioside carbohydrate antibodies IgG, anti-laminariobioside carbohydrate antibodies IgG and anti-chitobioside carbohydrate antibodies IgA were also determined via immunonephelometry and ELISA, respectively."
56,We further analyzed the sensitivity and specificity of the prominent IL-8 response.
57,"Here, we show that LSECtin enhances infection driven by filovirus glycoproteins (GP) and the S protein of SARS coronavirus, but does not interact with human immunodeficiency virus type-1 and hepatitis C virus envelope proteins."
58,This finding distinguishes ACE2 and DPP4 from other serum peptidases analyzed and clearly indicates that further analyses are warranted to identify the precise role of these serum ectopeptidases in the pathogenesis of CKD and to fully elucidate underlying molecular mechanisms.
59,"In the present study, we investigated the degradation, subcellular localisation, and function of TGEV N protein by examining its effects on cycle progression, endoplasmic reticulum (ER) stress, interleukin-8 (IL-8) expression, and cell survival."
60,Hence the expression and cleavage of ACE2 at the plasma membrane may influence cell-extracellular matrix interactions and the signalling that mediates cell survival and proliferation.
61,"The IL-6 and GADD45B-derived elements display similarities in their sequence, putative structure, and several associated RNA binding proteins."
62,ACE2 has been detected in urine from patients with chronic kidney disease.
63,"Indeed, increasing ACE2 activity might be a novel approach for the treatment of acute lung failure in several diseases."
64,Following CpG stimulation BANK1 deficiency reduced p38 phosphorylation without affecting that of ERK or JNK and reduced IL-6 secretion.
65,"In conclusion, the current MR analysis reveals diseases/traits and blood proteins that may causally affect ACE2 expression, which in turn may influence susceptibility to the infection."
